Location,DF_Market,TMO,Flavor,Taste,Thickness,Length,PMI SKU,Cluster SKU
Ningbo Lishe,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Hefei Xinqiao,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Naha,Japan,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Santiago De Compostela,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Sharjah,United Arab Emirates,PMI,Regular,Full Flavor,STD,KS,1,2
Paris Orly,France DP,PMI,Regular,Lights,STD,KS,1,2
Daegu,South Korea,PMI,NTD Caps,Full Flavor,STD,KS,1,5
Phu Quok,Vietnam,PMI,Regular,Full Flavor,STD,KS,1,1
Glasgow Prestwick,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,2
Enfidha,Tunisia,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Taiyuan Wusu,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Daegu,South Korea,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Qingdao Liuting,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Soekarno Hatta,Indonesia,PMI,Regular,Full Flavor,STD,KS,1,1
Dubai,United Arab Emirates,PMI,Regular,Lights,STD,KS,1,2
Torino,Italy,PMI,Regular,Full Flavor,STD,KS,1,8
Singapore - Changi,Singapore,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Tel-Aviv,Israel,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Billund,Denmark,PMI,Regular,Full Flavor,STD,KS,1,3
Hamburg,Germany,PMI,Regular,Full Flavor,SLI,KS,1,5
Xiamen Gaoqi,China,PMI,Regular,Full Flavor,STD,KS,1,7
Antalya Gazipasa Airport,Turkey,PMI,Regular,Full Flavor,STD,KS,1,14
Beijing,China,PMI,Regular,Full Flavor,STD,KS,1,7
Thessaloniki,Greece,PMI,Regular,Full Flavor,SLI,KS,1,8
A Coruna,Spain,PMI,Regular,Full Flavor,SLI,KS,1,2
Rabil,Cape Verde,PMI,Regular,Full Flavor,STD,KS,1,1
Accra,Ghana,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Moscow - Domodedovo,Russia,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Wuxi Shuofang,China,PMI,Regular,Full Flavor,STD,KS,1,7
Tarbes - Lourdes,France DP,PMI,Regular,Full Flavor,SLI,KS,1,1
Oita,Japan,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Punta del Este,Uruguay,PMI,Regular,Full Flavor,STD,KS,1,1
Santiago Cibao,Dominican Republic,PMI,Regular,Full Flavor,SLI,KS,1,2
Vienna,Austria,PMI,Regular,Full Flavor,STD,KS,1,1
Trondheim,Norway,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Belgrade,Serbia,PMI,Regular,Full Flavor,STD,KS,1,1
Guadalajara,Mexico,PMI,Regular,Full Flavor,SLI,KS,1,2
Samana El Catey,Dominican Republic,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
