IATA,PORT_CODE_ID,Airport,LOCATION_ID,Location,DF_Market
TSN,964,Tianjin Binhai Intl Airport,717,Tianjin Binhai,China
MAN,573,Manchester Airport,437,Manchester,Great Britain
RAI,776,Praia Intl Airport,138,Praia,Cape Verde
SOU,878,Southampton Airport,679,Southampton,Great Britain
INC,1292,Yinchuan Hedong Intl Airport,2892,Yinchuan Hedong,China
LIN,537,Linate Airport,4027,Milan - Linate,Italy
ORB,692,orebro Airport,3438,Orebro,Sweden
FOC,1217,Fuzhou Changle Intl Airport,241,Fuzhou Changle,China
KJA,1239,Yemelyanovo Intl Airport,2867,Krasnoyarsk,Russia
PIK,731,Glasgow Prestwick Intl Airport,3613,Glasgow Prestwick,Great Britain
KHV,473,Khabarovsk Novy Airport,343,Khabarovsk,Russia
CGN,180,Cologne Bonn Airport,170,Cologne,Germany
YEG,1024,Edmonton Intl Airport,2974,Edmonton,Canada
LGW,531,Gatwick Airport,245,London Gatwick,Great Britain
CTA,222,Catania-Fontanarossa Airport,143,Catania,Italy
CWB,233,Afonso Pena Intl Airport,2940,Curitiba,Brazil
BER,1569,Berlin Brandenburg Airport,3899,Berlin Brandenburg,Germany
CZX,1207,Changzhou Benniu Airport,3075,Changzhou Benniu,China
HSG,1532,Saga Airport,2761,Saga,Japan
LBU,509,Labuan Airport,764,W. P. Labuan,Malaysia
CSX,1206,Changsha Huanghua Intl Airport,148,Changsha Huanghua,China
BRS,143,Bristol Airport,122,Bristol,Great Britain
YLW,1027,Kelowna Intl Airport,3015,Kelowna,Canada
AMD,46,Sardar Vallabhbhai Patel Intl Airport,642,Sardar Vallabh Bhai Patel,India
GYE,370,Jose Joaquin de Olmedo Intl Airport,268,Guayaquil,Ecuador
YVR,1037,Vancouver Intl Airport,2981,Vancouver,Canada
SAW,1049,Sabiha Gokcen Intl Airport,306,Istanbul Asia Airport,Turkey
CHQ,186,"Chania Intl Airport (""Ioannis Daskalogiannis"")",149,Chania,Greece
HUX,407,Bahias de Huatulco Intl Airport,3562,Huatulco,Mexico
VOZ,1556,Voronezh Intl Airport,2965,Voronezh,Russia
SJU,861,Luis Munoz Marin Intl Airport,4410,San Juan,Puerto Rico
BCN,81,Barcelona-El Prat Airport,72,Barcelona,Spain DP
ADB,20,Adnan Menderes Airport,311,Izmir Airport,Turkey
TNA,941,Jinan Yaoqiang Intl Airport,318,Jinan Xiaoqiang,China
FAE,1576,Vagar Airport,224,Faroe Islands,Denmark
SVX,899,Koltsovo Intl Airport,213,Ekaterinburg,Russia
ALC,40,Alicante-Elche Airport,28,Alicante,Spain
UVF,986,Hewanorra Intl Airport,3692,Saint Lucia,Caribbean Other
TMP,939,Tampere-Pirkkala Airport,702,Tampere-Pirkkala,Finland
AAR,5,Aarhus Airport,720,Tirstrup,Denmark
TOY,1612,Toyama Airport,730,Toyama,Japan
KMI,1588,Miyazaki Airport,461,Miyazaki,Japan
CFU,176,Corfu Intl Airport (Ioannis Kapodistrias Intl Airport),177,Corfu,Greece
ODS,679,Odessa Intl Airport,518,Odessa,Ukraine
LCG,513,A Coruna Airport,2740,A Coruna,Spain
SPU,883,Split Airport,680,Split,Croatia
FKB,1135,Karlsruhe/Baden-Baden Airport,2817,Karlsruhe Baden-Baden,Germany
PEE,5999,Bolshoye Savino Airport,3448,Perm,Russia
YGJ,1558,Miho-Yonago Airport,783,Yonago,Japan
SAP,819,La Mesa Intl Airport,626,San Pedro Sula,Honduras
MGA,598,Augusto C. Sandino Intl Airport,435,Managua,Nicaragua
ZNZ,1051,Zanzibar Airport (Kisauni Airport),2818,Zanzibar,Tanzania
DEL,246,Indira Gandhi Intl Airport,301,Indira Gandhi,India
BFS,95,Belfast Intl Airport,85,Belfast,Great Britain
KGD,1536,Khrabrovo Airport,327,Hrabrovo,Kaliningrad
DLA,254,Douala Intl Airport,134,Cameroon,Cameroon
GIG,345,Rio de Janeiro-Galeao Intl Airport,604,Rio de Janeiro,Brazil
SEA,839,Seattle-Tacoma Intl Airport,4416,Seattle,United States
LCY,514,London City Airport,403,London City,Great Britain
JER,445,Jersey Airport,316,Jersey,Great Britain
SJC,856,San Jose Intl Airport,4423,San Jose,United States
FNC,321,Madeira Airport,4334,Madeira,Portugal
NDR,661,Arwi Airport,3101,Nador,Morocco
FIH,311,N'djili Airport (Kinshasa Intl Airport),348,Kinshasa,"Congo, Rep. Dem."
BKO,120,Bamako-Senou Intl Airport,432,Bamako,Mali
TBS,919,Tbilisi Intl Airport,708,Tbilisi,Georgia
FEZ,310,Fes-Saïss Airport,225,Fes,Morocco
GND,350,Maurice Bishop Intl Airport,683,St. George's Point Saline,Grenada
VGO,998,Vigo-Peinador Airport,4379,Vigo,Spain DP
JUB,4371,Juba Intl Airport,3573,Juba (inactive),Sudan
KWE,1241,Guiyang Longdongbao Intl Airport,271,Guiyang Longdongbao,China
SHJ,851,Sharjah Intl Airport,657,Sharjah,United Arab Emirates
AKL,38,Auckland Airport,57,Auckland,New Zealand
BIO,109,Bilbao Airport,99,Bilbao,Spain DP
JIB,448,Djibouti-Ambouli Intl Airport,3074,Djibouti,Djibouti
SEN,840,London Southend Airport,3463,London Southend Airport,Great Britain
BZE,1572,Philip S. W. Goldson Intl Airport,88,Belize City,Belize
NKC,5720,Nouakchott Intl Airport,3597,Nouakchott,Mauritania
IBR,1533,Ibaraki Airport,297,Ibaraki,Japan
CMB,202,Bandaranaike Intl Airport,65,Bandaranaike,Sri Lanka
MPL,625,Mediterranee Airport (Frejorgues Airport),468,Montpellier,France DP
ERZ,1178,Erzurum Airport,218,Erzurum,Turkey
SSH,886,Sharm el-Sheikh Intl Airport,658,Sharm El Sheikh,Egypt
BAH,76,Bahrain Intl Airport,2966,Manama,Bahrain
MPL,625,Mediterranee Airport (Frejorgues Airport),469,Montpellier,France
KYA,1181,Konya Airport,354,Konya Airport,Turkey
LGA,526,LaGuardia Airport,4417,New York La Guardia,United States
VCE,991,Venice Marco Polo Airport,753,Venice,Italy
CAI,164,Cairo Intl Airport,4447,Taba,Egypt
CGQ,181,Changchun Longjia Intl Airport,146,Changchun Longjia,China
WNZ,1295,Wenzhou Yongqiang Airport,771,Wenzhou Longwan,China
BZV,161,Maya-Maya Airport,3173,Maya,Congo
KOJ,1591,Kagoshima Airport,325,Kagoshima,Japan
OKJ,685,Okayama Airport,521,Okayama,Japan
POA,748,Salgado Filho Intl Airport,567,Porto Alegre,Brazil
BSL,146,EuroAirport Basel-Mulhouse-Freiburg,76,Basel,Switzerland
MSQ,635,Minsk Intl Airport (Minsk-2),458,Minsk,Belarus
TLS,936,Toulouse Blagnac Intl Airport,727,Toulouse,France DP
SVQ,898,San Pablo Airport,648,Sevilla,Spain
MJV,607,Murcia-San Javier Airport,3064,Murcia,Spain DP
SZG,909,Salzburg Airport,619,Salzburg,Austria
SZX,910,Shenzhen Bao'an Intl Airport,4387,Pengsheng,China
AER,26,Sochi Intl Airport,676,Sochi,Russia
ASF,1523,Narimanovo Airport,3033,Astrakhan,Russia
DNZ,1176,Denizli cardak Airport,3637,Denizli Cardak Airport,Turkey
OZZ,707,Ouarzazate Airport,535,Ouarzazate,Morocco
LHE,1593,Allama Iqbal Intl Airport,382,Lahore,Pakistan
LWO,564,Lviv Danylo Halytskyi Intl Airport,414,Lviv,Ukraine
AXT,1568,Akita Airport,21,Akita,Japan
AUH,69,Abu Dhabi Intl Airport,6,Abu Dhabi,United Arab Emirates
BGI,99,Grantley Adams Intl Airport,119,Bridgetown,Barbados
MJV,607,Murcia-San Javier Airport,2744,Murcia,Spain
EGO,1529,Belgorod Intl Airport,2866,Belgorod,Russia
KUT,4749,David the Builder Kutaisi Intl Airport,3662,Kutaisi,Georgia
REP,1093,Angkor Intl Airport,668,Siem Reap,Cambodia
JED,444,King Abdulaziz Intl Airport,2710,Jeddah,Saudi Arabia
ALC,40,Alicante-Elche Airport,29,Alicante,Spain DP
PER,721,Perth Airport,549,Perth,Australia
YQR,1031,Regina Intl Airport,2979,Regina,Canada
AAE,2,Rabah Bitat Airport,39,Annaba,Algeria
BRE,137,Bremen Airport,116,Bremen,Germany
YXE,1039,Saskatoon John G. Diefenbaker Intl Airport,2980,Saskatoon,Canada
ROS,6356,Rosario - Islas Malvinas Intl Airport,4165,Rosario,Argentina
DLA,254,Douala Intl Airport,3172,Douala,Cameroon
JNB,453,O. R. Tambo Intl Airport,319,Johannesburg,South Africa
MTY,641,General Mariano Escobedo Intl Airport,467,Monterrey,Mexico
MRS,629,Marseille Provence Airport,446,Marseille,France
DAC,1573,Shahjalal Intl Airport,791,Zia,Bangladesh
ALY,44,El Nouzha Airport,25,Alexandria,Egypt
VLC,1004,Valencia Airport,750,Valencia,Spain DP
VRN,1010,Verona Airport,754,Verona,Italy
OPO,691,Francisco Sa Carneiro Airport,565,Porto,Portugal
BKK,119,Suvarnabhumi Airport,68,Bangkok Airport,Thailand
MBA,575,Moi Intl Airport,463,Moi,Kenya
SAL,817,El Salvador Intl Airport,628,San Salvador Comalapa,El Salvador
CJB,191,Coimbatore Intl Airport,168,Coimbatore,India
REU,789,Reus Airport,597,Reus,Spain DP
DSA,245,Robin Hood Airport Doncaster Sheffield,197,Doncaster,Great Britain
ISB,1585,Benazir Bhutto Intl Airport,305,Islamabad,Pakistan
HIJ,1583,Hiroshima Airport,289,Hiroshima,Japan
TRD,954,"Trondheim Airport, Vaernes",738,Trondheim,Norway
CTU,226,Chengdu Shuangliu Intl Airport,4269,Chengdu Tianfu,China
AGP,31,Malaga Airport,428,Malaga,Spain
NTE,672,Nantes Atlantique Airport,488,Nantes,France
DLC,255,Dalian Zhoushuizi Intl Airport,187,Dalian Zhoushuizi,China
TNG,942,Ibn Batouta Intl Airport,703,Tangier,Morocco
MCX,1539,Uytash Airport,426,Makhachkala,Russia
GUA,1582,La Aurora Intl Airport,267,Guatemala City,Guatemala
KCH,467,Kuching Intl Airport,363,Kuching,Malaysia
EVE,294,"Harstad/Narvik Airport, Evenes",2823,Harstad,Norway
KVA,499,Kavala Intl Airport (Alexander the Great Airport),337,Kavala,Greece
LDE,515,Tarbes-Lourdes-Pyrenees Airport,706,Tarbes - Lourdes,France
KAN,463,Mallam Aminu Kano Intl Airport,2769,Kano,Nigeria
GOJ,1531,Nizhny Novgorod Intl Airport (Strigino Airport),507,Nizhniy Novgorod,Russia
OIT,1601,Oita Airport,520,Oita,Japan
CAN,166,Guangzhou Baiyun Intl Airport,266,Guangzhou Baiyun,China
KLV,481,Karlovy Vary Airport,333,Karlovy Vary,Czech Republic
CIT,2671,Shymkent Intl Airport,3887,Shymkent,Kazakhstan
LLA,543,Lulea Airport (Kallax Airport),410,Lulea,Sweden
LBV,510,Libreville Intl Airport,242,Gabon,Gabon
NGO,663,Chubu Centrair Intl Airport,162,Chubu,Japan
YNJ,1287,Yanji Chaoyangchuan Airport,779,Yanji Zhaoyangchuan,China
KGS,471,Kos Island Intl Airport,3894,Sihanoukville,Cambodia
HHN,386,Frankfurt-Hahn Airport,273,Hahn,Germany
SDR,837,Santander - Parayas Airport,3065,Santander,Spain DP
MAH,572,Mahon Airport,425,Mahon Airport,Spain DP
CRL,219,Brussels South Charleroi Airport,2952,Charleroi,Belgium
HLZ,3950,Hamilton Intl Airport,3450,Hamilton,New Zealand
ASM,60,Asmara Intl Airport,217,Asmara,Eritrea
SHE,850,Shenyang Taoxian Intl Airport,660,Shenyang Taoxian,China
NKG,665,Nanjing Lukou Intl Airport,485,Nanjing Lukou,China
MMX,619,Malmo-Sturup Airport,433,Malmo,Sweden
JKG,449,Jonkoping Airport,323,Jonkoping,Sweden
KKJ,1537,Kitakyushu Airport,349,Kitakyushu,Japan
KZN,501,Kazan Intl Airport,339,Kazan,Russia
SZX,910,Shenzhen Bao'an Intl Airport,661,Shenzhen Bao'an,China
AOE,1302,Anadolu Airport,4402,Eskisehir Airport,Turkey
LUX,563,Luxembourg Findel Airport,412,Luxembourg,Luxembourg
CJJ,1164,Cheongju Intl Airport,2945,Cheongju,South Korea
SLL,6532,Salalah Airport,3429,Salalah,Oman
SIP,855,Simferopol Intl Airport,670,Simferopol,Ukraine
LPB,1594,El Alto Intl Airport,376,La Paz El Alto,Bolivia
VIL,1102,Dakhla Airport,3100,Dakhla,Morocco
GOT,354,Goteborg Landvetter Airport,383,Gothenburg,Sweden
IXE,1112,Mangalore Airport,439,Mangalore,India
TAE,1171,Daegu Intl Airport,3056,Daegu,South Korea
ISU,4234,Sulaimaniyah Intl Airport,3479,Suleymania Airport,Iraq
SLC,867,Salt Lake City Intl Airport,4418,Salt Lake City,United States
LLW,544,Lilongwe Intl Airport (Kamuzu Intl),2774,Lilongwe,Malawi
FDH,309,Friedrichshafen Airport (Bodensee Airport),2702,Friedrichshafen,Germany
EAS,275,San Sebastian Airport,4426,San Sebastian,Spain
VTE,1616,Wattay Intl Airport,757,Vientiane,Laos
OER,680,ornskoldsvik Airport,525,Onskoldsvik,Sweden
