Location,DF_Market,Flavor,Taste,Thickness,Length,DF_Vol,Real_So_Segment,Ideal_So_Segment,Delta_SoS
Hohhot Baita,China,Menthol,Full Flavor,STD,LONGER THAN KS,1.613000,0.001164763065,0.000000101733,-0.001164661332
Yinchuan Hedong,China,Regular,Lights,STD,100,0.000000,0.000000000000,0.005125519462,0.005125519462
Yinchuan Hedong,China,Regular,Full Flavor,SLI,KS,0.000000,0.000000000000,0.004644917737,0.004644917737
Yinchuan Hedong,China,Regular,Full Flavor,SLI,EXTRA LONG,0.000000,0.000000000000,0.000006733757,0.000006733757
Yinchuan Hedong,China,Menthol,Full Flavor,STD,KS,12.088000,0.014679291246,0.043469380724,0.028790089478
Yinchuan Hedong,China,Regular,Full Flavor,STD,LONGER THAN KS,3.761000,0.004567241427,0.002869404401,-0.001697837026
Yinchuan Hedong,China,NTD Caps,Ultralights,STD,KS,0.000000,0.000000000000,0.250000000000,0.250000000000
Yinchuan Hedong,China,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.029753831808,0.029753831808
Yinchuan Hedong,China,Menthol,Full Flavor,STD,100,0.000000,0.000000000000,0.007879928263,0.007879928263
Yinchuan Hedong,China,NTD Caps,Full Flavor,SLI,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Yinchuan Hedong,China,Regular,Lights,STD,LONGER THAN KS,0.000000,0.000000000000,0.000875255187,0.000875255187
Yinchuan Hedong,China,Menthol Caps,Full Flavor,SSL,100,0.000000,0.000000000000,0.017336897756,0.017336897756
Yinchuan Hedong,China,Regular,Full Flavor,SSL,100,27.782000,0.033737596740,0.011428978440,-0.022308618300
Yinchuan Hedong,China,NTD Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.400000000000,0.400000000000
Yinchuan Hedong,China,Regular,Lights,SLI,KS,0.000000,0.000000000000,0.022981084413,0.022981084413
Yinchuan Hedong,China,Regular,Full Flavor,STD,KS,657.115000,0.797980018774,0.298681262257,-0.499298756517
Yinchuan Hedong,China,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.001033139437,0.001033139437
Yinchuan Hedong,China,Menthol,Full Flavor,SSL,100,9.829000,0.011936031904,0.009584421104,-0.002351610800
Yinchuan Hedong,China,Regular,1mg,STD,KS,0.000000,0.000000000000,0.009685221415,0.009685221415
Yinchuan Hedong,China,Regular,Lights,SSL,100,0.000000,0.000000000000,0.001685571958,0.001685571958
Yinchuan Hedong,China,Regular,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000674068971,0.000674068971
Yinchuan Hedong,China,Regular,Full Flavor,STD,100,3.812000,0.004629174241,0.017362117450,0.012732943209
Yinchuan Hedong,China,NTD Caps,Full Flavor,STD,KS,24.626000,0.029905048496,0.400000000000,0.370094951504
Yinchuan Hedong,China,Menthol Caps,Full Flavor,STD,100,0.000000,0.000000000000,0.003009481631,0.003009481631
Yinchuan Hedong,China,Menthol Caps,Full Flavor,SLI,KS,0.000000,0.000000000000,0.001245575019,0.001245575019
Yinchuan Hedong,China,NTD Caps,Full Flavor,SSL,100,3.548000,0.004308580852,0.400000000000,0.395691419148
Yinchuan Hedong,China,Menthol,Full Flavor,SLI,EXTRA LONG,0.000000,0.000000000000,0.300000000000,0.300000000000
Yinchuan Hedong,China,Menthol,Full Flavor,SLI,100,0.150000,0.000182155335,0.002701618365,0.002519463030
