DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,$theyearbefore Volume,$previous_year Volume,$current_year Volume,$theyearbefore Month,$previous_year Month,$current_year Month,$theyearbefore Revenue,$previous_year Revenue,$current_year Revenue
Turkey,Dalaman Airport,IMPERIAL BRANDS,DAVIDOFF,45962,DAVIDOFF - GOLD 90's OCTAGONAL PACK,600,96600,75000,0,8,9,0,16735.5,13495.5,0
Cambodia,Sihanoukville,JTI,MEVIUS,89726,MEVIUS - SKY BLUE KS RCB,200,2600,1000,5200,6,2,6,318.5,130,632.92
China,Xiamen Gaoqi,JTI,SALEM,44768,SALEM - MENTHOL KS BOX,200,13334,78653,87899,12,12,12,7733.72,45618.74,50981.42
Egypt,Sharm El Sheikh,BAT,KENT,53002,KENT - BLUE FUTURA 8 KS RCB,200,10340,4365,0,12,6,0,1292.5,545.625,0
United Arab Emirates,Abu Dhabi,BAT,DUNHILL,103541,DUNHILL - SWITCH (BLACK - GREEN) KS OCTAGONAL PACK C,200,0,70600,197000,0,2,5,0,45451.61,116271.85
Aruba,Oranjestad,PMI,MARLBORO,125835,MARLBORO - RED 3.5 100's BOX - GENERIC DF-ENG TXT,200,0,126000,219200,0,5,12,0,28350,49704.01
Russia,Astrakhan,JTI,WINSTON,54248,WINSTON - LIGHTS MENTHOL 100's BOX SUPERSLIMS,200,4600,27400,3000,5,11,3,195.5,1164.5,127.5
France,Toulouse,IMPERIAL BRANDS,GAULOISES,45358,GAULOISES - BLONDES (RED) KS BOX,400,12400,17600,8400,12,12,10,1953,4818,2552.49
South Korea,Muan,KT & G,CLOUD 9,52984,CLOUD 9 - 100's OCTAGONAL PACK SUPERSLIMS,200,0,0,6800,0,0,4,0,0,1122
China,Dalian Zhoushuizi,JTI,CASTER,46127,CASTER - MILD KS BOX,200,0,6420,25620,0,2,5,0,3531,14091
Denmark,Billund,PMI,MARLBORO,124780,MARLBORO - (RED FWD) 100's BOX - DENMARK DF - IDM DENMARK,200,59887,49671,29882,6,5,3,133449.665,117948.745,73061.49
China,Shenzhen Bao'an,BAT,KENT,55423,KENT - NANOTEK NEO KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,200,0,23091,0,0,10,0,0,13854.6,0
United Arab Emirates,Sharjah,JTI,LD,50138,LD - RED KS BOX,600,0,2400,27000,0,2,12,0,255.94,7785
Morocco,Rabat,BAT,VOGUE,45104,VOGUE - SUPER SLIMS MENTHOL 100's BOX SUPERSLIMS,200,185741,181753,263445,10,11,12,31575.97,30898.01,44785.65
Italy,Ciampino Airport,PMI,MARLBORO,125682,MARLBORO - RED 3.5 KS BOX 400 TRANSPARENT BUNDLE - ITALY DF - IDM ITALY,400,0,0,167600,0,0,12,0,0,37882.88
China,Nanchang Changbei,BAT,DUNHILL,53297,DUNHILL - (WHITE) KS BOX,200,0,692,227,0,9,7,0,397.9,130.525
Turkey,Adana Airport,BAT,KENT,62490,KENT - SWITCH KS RCB C,200,12200,31800,27400,4,12,8,1833.15,5510.83,4631.34
Malaysia,Kuala Lumpur,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,200,411000,1210000,1612000,6,12,11,184950,597650,874175
Martinique,Fort-de-France,PMI,PHILIP MORRIS,121221,PHILIP MORRIS - KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,489600,688200,939800,11,12,12,149328,209901,288633.9
Germany,Munich,PMI,MARLBORO,137261,MARLBORO - RED 3.5 KS BOX (PROMO) - ENGLISH GHW TPD2 DF - IDM GERMANY,200,25200,326200,99600,1,12,8,7295.4,96592.9,31237.2
Turkey,Konya Airport,BAT,KENT,101267,KENT - MIX AROMA KS RCB C,200,0,10000,600,0,3,1,0,994.4,96.99
United Arab Emirates,Ras El Khaymah,PMI,MARLBORO,120085,MARLBORO - (GOLD 3.0) KS RCS 400 WHITE - UAE DF,400,113600,122000,144000,8,12,12,16409.52,17622.9,20800.8
Greece,Samos,JTI,SILK CUT,45375,SILK CUT - PURPLE KS BOX,200,0,0,3600,0,0,6,0,0,825
