DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,$theyearbefore Volume,$previous_year Volume,$current_year Volume,$theyearbefore Month,$previous_year Month,$current_year Month,$theyearbefore Revenue,$previous_year Revenue,$current_year Revenue
Turkey,Antalya Gazipasa Airport,JTI,WINSTON,99614,WINSTON - CABIN 5 KS BOX,400,1200,0,0,3,0,0,744.32,0,0
Ethiopia,Addis Ababa,IMPERIAL BRANDS,DAVIDOFF,53129,DAVIDOFF - CLASSIC KS OCTAGONAL PACK,600,7800,0,0,1,0,0,,0,0
Portugal,Faro Airport,PMI,L&M,125789,L&M - BLUE LABEL (NON TRAVEL) KS RCB TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM PORTUGAL,200,88600,0,0,3,0,0,19137.6,0,0
China,Wenzhou Longwan,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,200,116,2118,3690,5,12,12,53.36,974.28,1697.4
Lebanon,Beirut - Rafik Hariri,PMI,MARLBORO,114907,MARLBORO - (RED FWD) KS BOS JUMBO - LEBANON DF,200,1373000,467400,400,7,11,1,155629.55,49395.15,45.34
Brazil,Porto Alegre,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,600,1200,1200,0,1,2,0,108,108,0
Mexico,Los Cabos,JTI,NATURAL AMERICAN SPIRIT,54462,NATURAL AMERICAN SPIRIT - (YELLOW) KS BOX,400,19600,153600,158400,2,10,12,3510.84,34541.87,37040
China,Fuzhou Changle,PMI,MARLBORO,119257,MARLBORO - PREMIUM BLACK (FWD) KS RCS 100 100 JUMBO RC WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),100,2400,600,8800,1,1,4,3600,1003.32,14595.48
Tanzania,Zanzibar,PMI,L&M,122514,L&M - BLUE LABEL (5.0 CWB) KS RCB - SOUTH AFRICA DF,200,0,0,400000,0,0,2,0,0,38000
Russia,Krasnodar,IMPERIAL BRANDS,DAVIDOFF,43250,DAVIDOFF - LIGHTS 90's OCTAGONAL PACK,200,600,0,0,1,0,0,96,0,0
Germany,Erfurt,PMI,MARLBORO,125052,MARLBORO - (RED FWD) KS BOX TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM GERMANY,200,19371,0,0,3,0,0,3583.635,0,0
Germany,Duesseldorf,IMPERIAL BRANDS,WEST,46023,WEST - RED KS BOX,600,4200,0,0,5,0,0,1073.92,0,0
Macedonia,Ohrid,BAT,VOGUE,104076,VOGUE - CLIC BLEUE 100's BOX C SUPERSLIMS,200,1800,0,0,2,0,0,270,0,0
Greece,Athens,JTI,STERLING,99392,STERLING - DUAL KS BOX C,1,55,403,0,3,3,0,8.8,60.45,0
Norway,Alesund,OTHER LOCAL TMO IND.,UNDEFINED,0,UNDEFINED,0,509320,0,0,6,0,0,0,0,0
Switzerland,Basel,BAT,VOGUE,46753,VOGUE - MENTHOL 100's BOX SUPERSLIMS,400,96000,0,0,7,0,0,20736,0,0
Sri Lanka,Colombo,PMI,L&M,90785,L&M - RED LABEL KS RCB - SOUTH ASIA DF,200,7478,7479,0,1,1,0,897.36,897.48,0
Tunisia,Tozeur,JTI,CAMEL,52443,CAMEL - (RED) KS BOX,200,200,2400,17800,1,1,9,33,466.8,3462.1
China,Ningbo Lishe,PMI,PARLIAMENT,122802,PARLIAMENT - AQUA BLUE KS RCB 200 JUMBO RC WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,0,3400,8600,0,4,5,0,2205.06,5805
South Korea,Jeju,JTI,CAMEL,45351,CAMEL - (BLUE) KS BOX,200,0,0,14600,0,0,5,0,0,1679
Jamaica,Montego Bay,JTI,CAMEL,91074,CAMEL - ACTIVA DOUBLE FRESHNESS MENTHOL KS BOX C,200,0,0,5800,0,0,2,0,0,1242.08
Spain,Malaga,KING'S TOBACCO,THE KING,106307,THE KING - BLUE KS BOX,200,0,42000,209200,0,5,12,0,7938,41594.7
China,Yanji Zhaoyangchuan,JTI,WINSTON,56993,WINSTON - (RED) KS BOX,200,589,21462,6080,2,12,3,353.4,12877.2,3648
Aruba,Oranjestad,JTI,NATURAL AMERICAN SPIRIT,54462,NATURAL AMERICAN SPIRIT - (YELLOW) KS BOX,200,58600,0,0,5,0,0,12013,0,0
Bangladesh,Zia,PMI,L&M,123645,L&M - RED LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT,200,2454,14021,3280,3,12,4,265.032,1573.6815,369
Saudi Arabia,Jeddah,PMI,MARLBORO,139554,MARLBORO - TROPICAL SPLASH MENTHOL KS RCS C MUL WHITE - GENERIC DF-ENG TXT - SAUDI ARABIA,200,0,101800,188000,0,2,5,0,17835.36,32937.6
Nigeria,Abuja,PMI,MARLBORO,138525,MARLBORO - TROPICAL SPLASH MENTHOL KS RCS C MUL WHITE - GENERIC DF-ENG TXT,200,0,0,3000,0,0,4,0,0,517.15
China,Nanning Wuxu,JTI,MORE,46828,MORE - MENTHOL KS BOX,200,0,1335,4955,0,11,11,0,527.325,1957.225
Turkey,Cukurova Airport,PMI,MARLBORO,122201,MARLBORO - TOUCH AQUA KS RCS 600 C SLIMS WHITE - TURKEY DF,600,0,0,600,0,0,1,0,0,103.26
Turkey,Antalya Airport,KT & G,ESSE,52455,ESSE - (BLUE) 100's BOX SUPERSLIMS,200,0,0,15800,0,0,11,0,0,3002
China,Taiyuan Wusu,KARELIA TOBACCO,KARELIA,45913,KARELIA - LIGHTS MENTHOL 100's BOX SLIMS,200,0,0,89,0,0,1,0,0,
Brazil,Brasilia,PMI,MARLBORO,125084,MARLBORO - DOUBLE FUSION MENTHOL KS BOX C TRU WHITE - GENERIC DF-ENG TXT,200,0,4600,5400,0,5,9,0,736,902
Russia,Moscow - Domodedovo,IMPERIAL BRANDS,WEST,45141,WEST - KS BOX,200,0,0,1400,0,0,4,0,0,127.41
India,Netaji Subhash Chandra Bose Int. Airport,PMI,MARLBORO,99273,MARLBORO - (RED FWD) KS BOX 600 SPECIAL OUTER - SOUTH ASIA DF - BASE PRODUCT DF,600,1890,3793,0,1,2,0,274.05,549.985,0
Greece,Kavala,IMPERIAL BRANDS,RICHMOND,53131,RICHMOND - (BLUE) 100's SOFT,200,0,2400,0,0,3,0,0,468,0
Mozambique,Maputo,PMI,MARLBORO,114700,MARLBORO - (GOLD 3.0) KS RCB 600 SPECIAL OUTER - AFRICA DF-ENG TXT,600,7800,0,0,1,0,0,1053,0,0
Norway,Alesund,PMI,MARLBORO,125759,MARLBORO - RED 2.0 KS BOX TRANSPARENT BUNDLE - NORWAY DF - IDM NORWAY,200,39855,0,0,3,0,0,125343.975,0,0
Greece,Karpathos,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,200,4200,3000,200,4,4,1,672,480,40
Austria,Salzburg,BAT,LUCKY STRIKE,45366,LUCKY STRIKE - RED KS BOX,200,5000,0,0,6,0,0,1322.5,0,0
Russia,Rostov Don,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,200,1000,0,0,3,0,0,60,0,0
Turkey,Konya Airport,PMI,MARLBORO,124799,MARLBORO - TOUCH AQUA MENTHOL KS DSP C SLIMS WHITE - TURKEY DF,200,0,0,1000,0,0,1,0,0,130
Mexico,Monterrey,BAT,KENT,107236,KENT - SURROUND (SILVER) KS RCB,600,0,1200,0,0,2,0,0,183,0
Morocco,Tangier,BAT,DUNHILL,58419,DUNHILL - FINE CUT (BURGUNDY) 90's BOX SLIMS,200,1971,0,0,5,0,0,315.36,0,0
Turkey,Gaziantep Airport,BAT,LUCKY STRIKE,94530,LUCKY STRIKE - BOOST MENTHOL KS BOX C,600,600,0,1200,1,0,1,77.06,0,148.42
Brazil,Recife,PMI,L&M,123649,L&M - BLUE LABEL (5.0 CWB) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT,400,6800,1200,9600,8,1,10,816,151.5,1292.5
Tunisia,Enfidha,BAT,VOGUE,68664,VOGUE - (BLUE) 100's L-STICK ROUND CORNER BOX SUPERSLIMS,200,0,0,1600,0,0,1,0,0,293.2
Tunisia,Enfidha,JTI,STERLING,58605,STERLING - MENTHOL MENTHOL KS BOX,600,0,0,16200,0,0,1,0,0,2772.36
Indonesia,Soekarno Hatta,ALISHAN GROUP LTD,UNDEFINED,0,UNDEFINED,0,95,6890,5104,1,3,1,0,0,0
Turkey,Kayseri Airport,BAT,KENT,57751,KENT - HD (SILVER) KS RCB,600,3600,0,0,4,0,0,647.14,0,0
China,Jieyang Chaoshan,JTI,SALEM,49692,SALEM - KS SOFT,200,0,71,0,0,1,0,0,41.18,0
Indonesia,Ngurah Rai,P.T. GUDANG GARAM,UNDEFINED,0,UNDEFINED,200,0,0,200,0,0,1,0,0,300000
Russia,Rostov Don,JTI,SOBRANIE,58287,SOBRANIE - LONDON BLUE KS OCTAGONAL PACK,200,1200,0,0,3,0,0,156,0,0
Russia,Novosibirsk,JTI,LD,50138,LD - RED KS BOX,200,600,0,0,3,0,0,25.51,0,0
Morocco,Tangier,PMI,MARLBORO,122222,MARLBORO - DOUBLE FUSION PURPLE MENTHOL KS RCB C TRU JUMBO RC WHITE - LEBANON DF,200,49200,0,0,4,0,0,9102,0,0
Jordan,Aqaba,PMI,MARLBORO,123514,MARLBORO - WHITE (3.5) KS RCS WHITE - GENERIC DF-ENG TXT,200,3600,6800,2200,1,4,8,576,1098.5,368.5
Germany,Erfurt,PMI,L&M,125035,L&M - BLUE LABEL (NON TRAVEL) KS BOX TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM GERMANY,200,0,9999,0,0,3,0,0,2783.055,0
Jamaica,Kingston,PMI,MARLBORO,139307,MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - GENERIC DF-ENG TXT - ALTERNATIVE,600,0,0,25464,0,0,4,0,0,3862.04
Ukraine,Lviv,BAT,PALL MALL,88041,PALL MALL - NEW ORLEANS KS BOX C,200,4000,0,0,2,0,0,300,0,0
Cape Verde,Espargos,BAT,BENSON & HEDGES,42846,BENSON & HEDGES - GOLD KS BOX,600,0,0,61200,0,0,8,0,0,856212.01
Japan,Fukuoka,BAT,DUNHILL,94539,DUNHILL - FINE CUT 1MG 100's BOX SUPERSLIMS,200,0,0,301400,0,0,7,0,0,4671700
Iraq,Basrah,PMI,MARLBORO,123514,MARLBORO - WHITE (3.5) KS RCS WHITE - GENERIC DF-ENG TXT,200,200000,250000,150000,3,2,2,21000,26250,15750
Turkey,Eskisehir Airport,PMI,MARLBORO,122817,MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS RCB 600 C WRG SPECIAL OUTER WHITE - TURKEY DF,600,0,0,5400,0,0,2,0,0,675
France,Paris Charles De Gaulle,JTI,CAMEL,88440,CAMEL - FILTER KS BOX,200,172400,2034600,1788400,1,12,12,44824,677399.49,631932.55
Dominican Republic,Punta Cana - Higuey,PMI,MARLBORO,125837,MARLBORO - RED 3.5 KS BOX - GENERIC DF-ENG TXT,200,0,454600,832800,0,7,12,0,102285,194542
Saudi Arabia,Medina,BAT,DUNHILL,50827,DUNHILL - (GOLD) KS BOX,200,0,161000,153200,0,7,12,0,94990,89848.1
Russia,Min Vody,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,200,400,3000,7600,2,7,7,35.12,272.8,690.44
Ethiopia,Addis Ababa,CHINA NATIONAL,PEONY,38756,PEONY,200,29800,3400,0,2,1,0,0,0,0
Turkey,Istanbul Airport,PMI,MARLBORO,144715,MARLBORO - EDGE KS RCB WHITE - TURKEY DF,200,0,0,277800,0,0,10,0,0,53700.4
Colombia,Cali,PMI,MARLBORO,104440,MARLBORO - (RED FWD) KS BOX TRANSPARENT BUNDLE WHITE - LA&CANADA DF-ENG TXT,200,0,24903,84868,0,9,8,0,3112.875,10608.5
Saudi Arabia,DAMMAM,PMI,MARLBORO,125065,MARLBORO - GOLD (3.5) KS RCS WHITE - GENERIC DF-ENG TXT - SAUDI ARABIA,200,0,1878600,3157600,0,9,12,0,1192990.24,2072148.61
Morocco,Tangier,IMPERIAL BRANDS,DAVIDOFF,54262,DAVIDOFF - RICH BLUE 90's OCTAGONAL PACK,200,0,13340,19254,0,11,12,0,2146.03625,3080.64
Egypt,Sharm El Sheikh,PMI,MARLBORO,125837,MARLBORO - RED 3.5 KS BOX - GENERIC DF-ENG TXT,200,0,0,844564,0,0,12,0,0,128642.6
Turkey,Antalya Gazipasa Airport,PMI,MARLBORO,137291,MARLBORO - GOLD (3.5) KS RCB (PROMO) - TURKEY DF,200,0,0,400,0,0,1,0,0,93.8
Dominican Republic,Punta Cana - Higuey,PMI,MARLBORO,125088,MARLBORO - WHITE MINT (2.0) MENTHOL KS BOX ORH WHITE - GENERIC DF-ENG TXT,200,0,618200,726200,0,7,10,0,139095,169877
China,Shanghai Hongqiao,BAT,STATE EXPRESS 555,52627,STATE EXPRESS 555 - (YELLOW) KS BOX,200,0,46274,64611,0,10,12,0,34011.39,47489.085
Morocco,Essaouira,JTI,WINSTON,85545,WINSTON - EXCEL (BLACK CAPSULE) MENTHOL KS RCB C,1,0,0,12706,0,0,12,0,0,1767.55
Japan,Fukuoka,BAT,STATE EXPRESS 555,157218,STATE EXPRESS 555 - SPHERE2 ZESTY KS OCTAGONAL PACK C,200,0,0,7600,0,0,3,0,0,122875.29
South Korea,Cheongju,KT & G,THE ONE,95177,THE ONE - CHANGE 1MG KS OCTAGONAL PACK C,200,0,91200,174200,0,12,11,0,13680,26130
Egypt,Aswan,PMI,MARLBORO,125840,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - GENERIC DF-ENG TXT,600,0,0,68800,0,0,4,0,0,9976
China,Jinan Xiaoqiang,BAT,LUCKY STRIKE,97914,LUCKY STRIKE - (PURPLE) KS BOX,200,0,2410,4565,0,11,12,0,1446,2739
Tunisia,Jerba,BAT,KENT,98080,KENT - S SERIES SPARK 1 MENTHOL 100's BOX C SUPERSLIMS,600,0,4800,16200,0,4,9,0,817.27,2727.67
Caribbean Other,Basseterre (Saint Kitts),JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,600,600,1200,1200,1,2,2,87.5,162.98,159
Tunisia,Monastir,BAT,KENT,98080,KENT - S SERIES SPARK 1 MENTHOL 100's BOX C SUPERSLIMS,400,0,0,72000,0,0,6,0,0,11627.88
Sri Lanka,Colombo,PMI,MARLBORO,123388,MARLBORO - DOUBLE ICE KS RCS 600 C SPECIAL OUTER WHITE - GENERIC DF-ENG TXT,600,0,0,202968,0,0,12,0,0,30297.630833333
Zambia,Lusaka,PMI,MARLBORO,124723,MARLBORO - BEYOND BLUE (2.5) KS BOX C TRANSPARENT BUNDLE WHITE - SOUTH AFRICA DF,200,0,0,10000,0,0,1,0,0,1200
Macedonia,Ohrid,BAT,PALL MALL,53289,PALL MALL - SAN FRANCISCO KS BOX,600,3000,3000,6600,1,2,5,315,334.24,693
Brazil,Porto Alegre,PMI,MARLBORO,139307,MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - GENERIC DF-ENG TXT - ALTERNATIVE,600,0,14400,6600,0,5,3,0,1836,863.5
France,Grenoble,JTI,CAMEL,88440,CAMEL - FILTER KS BOX,200,0,7600,11000,0,4,5,0,2512,3764.5
China,Shenyang Taoxian,PMI,MARLBORO,125149,MARLBORO - TROPICAL SPLASH MENTHOL KS BOX C MUL WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,0,0,103800,0,0,8,0,0,93310.02
China,Urumchi Diwobao,PMI,PARLIAMENT,122802,PARLIAMENT - AQUA BLUE KS RCB 200 JUMBO RC WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,0,23200,512000,0,4,12,0,15000.57,345600
Brazil,Natal,IMPERIAL BRANDS,DAVIDOFF,88913,DAVIDOFF - SLIMS GOLD KS OCTAGONAL PACK SLIMS,200,0,1600,200,0,6,1,0,256,32
Caribbean Other,Port-au-Prince (Haiti),PMI,MARLBORO,125841,MARLBORO - RED 3.5 KS BOX 400 - GENERIC DF-ENG TXT,400,0,29600,25200,0,4,5,0,3700,3150
China,Hangzhou Xiaoshan,NANYANG BROTHERS,DOUBLE HAPPINESS,85873,DOUBLE HAPPINESS - CLASSIC DELUXE LS BOX,200,8336,265181,476611,8,12,12,7002.24,222752.04,400353.24
Switzerland,Geneva,BAT,LUCKY STRIKE,51260,LUCKY STRIKE - ORIGINAL RED KS BOX,600,0,0,34800,0,0,9,0,0,8979.55
Tanzania,Dar Es Salaam,BAT,BENSON & HEDGES,69843,BENSON & HEDGES - (RED) KS BOX,200,0,0,19200,0,0,7,0,0,6808000
China,Urumchi Diwobao,JTI,SEVEN STARS,46302,SEVEN STARS - KS BOX,200,0,20009,43289,0,8,12,0,12005.4,25973.4
Morocco,Tangier,JTI,LUCKY STRIKE,105344,LUCKY STRIKE - DOUBLE KS BOX C,200,0,0,3800,0,0,2,0,0,608
China,Changzhou Benniu,JTI,MEVIUS,91512,MEVIUS - OPTION KS RCB C,200,0,5683,0,0,9,0,0,4688.475,0
United Arab Emirates,Abu Dhabi,IMPERIAL BRANDS,DAVIDOFF,94327,DAVIDOFF - WHITE SLIMS 100's OCTAGONAL PACK SUPERSLIMS,600,0,29400,117000,0,2,5,0,14932.76,60601.1
Mexico,Monterrey,PMI,MARLBORO,125841,MARLBORO - RED 3.5 KS BOX 400 - GENERIC DF-ENG TXT,400,0,51600,78400,0,7,10,0,8836.5,14112
Turkey,Gaziantep Airport,PMI,PARLIAMENT,137665,PARLIAMENT - PLATINUM BLUE KS RCS WHITE - TURKEY DF,200,0,2200,4200,0,5,8,0,291.5,534
India,Jaipur,IMPERIAL BRANDS,UNDEFINED,0,UNDEFINED,0,2565,15710,0,3,2,0,0,0,0
China,Chengdu Tianfu,JTI,SALEM,49692,SALEM - KS SOFT,200,0,64771,136332,0,10,12,0,37567.18,79072.56
Brazil,Viracopos,BAT,VOGUE,45104,VOGUE - SUPER SLIMS MENTHOL 100's BOX SUPERSLIMS,200,2000,24600,18200,1,11,10,300,3650.02,2730
Portugal,Madeira,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,400,0,15200,100800,0,3,12,0,3193.9,21180.6
China,Hangzhou Xiaoshan,PMI,PARLIAMENT,122802,PARLIAMENT - AQUA BLUE KS RCB 200 JUMBO RC WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,0,74600,194600,0,7,12,0,48605.6,123305
Norway,Stavanger,JTI,CAMEL,52735,CAMEL - BLUE KS BOX,100,0,14900,35100,0,5,11,0,47523.13,119494.5
Italy,Naples,PMI,MARLBORO,125684,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - ITALY DF - IDM ITALY,600,0,0,518400,0,0,12,0,0,111002.06
Italy,Naples,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,600,1200,22200,58800,1,11,11,239.4,4244.03,11645
Egypt,Sharm El Sheikh,PMI,PARLIAMENT,122945,PARLIAMENT - SILVER BLUE KS RCS JUMBO RC WHITE - GENERIC DF-ENG TXT,200,35400,397110,273200,1,12,12,5040.96,68155.48,49122.9
Italy,Verona,JTI,MAYFAIR,44279,MAYFAIR - KS BOX,200,0,10600,170200,0,3,12,0,2464.5,39571.5
China,Chengdu Tianfu,BAT,STATE EXPRESS 555,38071,STATE EXPRESS 555,200,0,16366,34463,0,10,12,0,9775.55,21539.375
Kyrgyzstan,Manas,BAT,DUNHILL,103540,DUNHILL - SWITCH (GREEN) KS OCTAGONAL PACK C,200,0,0,35600,0,0,10,0,0,2688.08
Dominican Republic,Santo Domingo Las Americas,JTI,NATURAL AMERICAN SPIRIT,49916,NATURAL AMERICAN SPIRIT - (YELLOW) KS SOFT,400,0,0,47600,0,0,8,0,0,11434.53
Switzerland,Zurich,JTI,WINSTON,54235,WINSTON - BLUE 100's BOX SUPERSLIMS,200,0,0,91800,0,0,5,0,0,25071.08
Saudi Arabia,RIYADH,CHINA NATIONAL,CHUNGHWA,47099,CHUNGHWA - KS SOFT,200,0,0,25200,0,0,1,0,0,23184
China,Pengsheng,PMI,MARLBORO,124460,MARLBORO - DRY MENTHOL 8 (2.5) MENTHOL KS BOX C WHITE - CHINA DF - IDM CN05 SHENZEN DF (SZ),200,0,0,76000,0,0,5,0,0,91200
Turkey,Dalaman Airport,JTI,WINSTON,85545,WINSTON - EXCEL (BLACK CAPSULE) MENTHOL KS RCB C,200,0,1000,0,0,1,0,0,198.45,0
Turkey,Eskisehir Airport,IMPERIAL BRANDS,DAVIDOFF,46929,DAVIDOFF - MAGNUM 90's OCTAGONAL PACK,200,0,0,600,0,0,2,0,0,147
Russia,Vladivostok,PMI,PARLIAMENT,86984,PARLIAMENT - CARAT (BLUE) 90's BEV SLIMS WHITE - RUSSIA DF,200,400,0,0,1,0,0,5000,0,0
Morocco,Casablanca,BAT,DUNHILL,113773,DUNHILL - FINE CUT REMIX 100's BOX C SUPERSLIMS,200,986,0,0,1,0,0,159.9292,0,0
Japan,Osaka - Kansai,JTI,NATURAL AMERICAN SPIRIT,118645,NATURAL AMERICAN SPIRIT - ORGANIC LEAF TURQUOISE 100's BOX,200,3000,0,0,2,0,0,61500,0,0
Morocco,Tangier,JTI,WINSTON,45184,WINSTON - KS SOFT,200,0,0,10771,0,0,2,0,0,1669.505
Ethiopia,Addis Ababa,JTI,CAMEL,91074,CAMEL - ACTIVA DOUBLE FRESHNESS MENTHOL KS BOX C,200,0,168200,60800,0,4,3,0,0,0
China,Dalian Zhoushuizi,IMPERIAL BRANDS,WEST,46023,WEST - RED KS BOX,200,0,920,3650,0,2,5,0,423.2,1679
India,Netaji Subhash Chandra Bose Int. Airport,PMI,L&M,123639,L&M - BLUE LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT,200,1794,4928,0,1,2,0,215.28,591.36,0
Japan,Osaka - Kansai,CHINA NATIONAL,FURONGWANG,52080,FURONGWANG - (BLUE) KS SOFT,200,0,64000,19800,0,4,2,0,2400000,742500
Poland,Krakow Balice,JTI,SOVEREIGN,44887,SOVEREIGN - KS BOX,200,0,0,87200,0,0,11,0,0,58325
Morocco,Casablanca,PMI,MARLBORO,138965,MARLBORO - LUNA SHUFFLE MENTHOL KS RCS (PROMO) C MUL WHITE - GENERIC DF-ENG TXT,200,0,107200,1200,0,6,3,0,19552,216
Greece,Aktio,IMPERIAL BRANDS,RICHMOND,44637,RICHMOND - KS BOX,200,0,0,23800,0,0,7,0,0,4831
South Korea,Yangyang,KT & G,THE ONE,52616,THE ONE - KS OCTAGONAL PACK,200,0,18400,2600,0,2,1,0,2760,390
Colombia,Cali,PMI,MARLBORO,142119,MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT - ALTERNATIVE,400,0,0,167305,0,0,10,0,0,19856.8125
China,Shanghai Hongqiao,BAT,LUCKY STRIKE,97914,LUCKY STRIKE - (PURPLE) KS BOX,200,0,73467,102620,0,10,12,0,48855.555,68242.3
Turkey,Antalya Airport,PMI,PARLIAMENT,139113,PARLIAMENT - NIGHT BLUE KS RCS WHITE - TURKEY DF,200,0,334200,82000,0,5,9,0,71017.5,17741
South Korea,Yangyang,BAT,STATE EXPRESS 555,56499,STATE EXPRESS 555 - GOLD KS RCB,200,0,400,200,0,1,1,0,44,22
Japan,Chubu,CHINA NATIONAL,HUANGHELOU,115802,HUANGHELOU - 1916 KS BOX,200,0,0,57800,0,0,7,0,0,1458562.25
Turkey,Trabzon Airport,IMPERIAL BRANDS,DAVIDOFF,49027,DAVIDOFF - WHITE 90's OCTAGONAL PACK,200,2600,59000,145000,1,10,10,329.94,9276.34,26295.52
South Korea,Cheongju,KT & G,THE ONE,53482,THE ONE - 0.5 KS OCTAGONAL PACK,200,0,201000,351400,0,12,11,0,30150,52710
Egypt,Asyut,PMI,L&M,123639,L&M - BLUE LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT,200,0,0,29493,0,0,11,0,0,3337.8503
Japan,Osaka - Kansai,CHINA NATIONAL,SHUANG XI,113555,SHUANG XI - GREEN KS BOX,200,0,3200,16600,0,1,2,0,71127.2,439625.14
Poland,Lodz,JTI,CAMEL,52735,CAMEL - BLUE KS BOX,400,6800,13200,14400,4,10,12,3910,9482,11466
India,Bangalore,PMI,MARLBORO,104588,MARLBORO - EDGE (2.0) KS BOX SUPERSLIMS DCV WHITE - SOUTH ASIA DF,200,0,19600,5400,0,9,2,0,293599.69,82080
Turkey,Antalya Gazipasa Airport,PMI,MARLBORO,125712,MARLBORO - RED 3.5 100's SOFT 600 SPECIAL OUTER - TURKEY DF,600,0,0,24000,0,0,8,0,0,4740
Egypt,Marsa Aalam,PMI,PARLIAMENT,100921,PARLIAMENT - SILVER BLUE KS RCS JUMBO RC WHITE - GCC DF,200,1200,0,0,1,0,0,204,0,0
Turkey,Diyarbakir Airport,JTI,CAMEL,52735,CAMEL - BLUE KS BOX,200,200,1600,2200,1,6,7,12.5,100,137.5
Mauritania,Nouakchott,BAT,LUCKY STRIKE,51260,LUCKY STRIKE - ORIGINAL RED KS BOX,200,0,400,1800,0,1,4,0,2100,11050
Turkey,Antalya Airport,PMI,MARLBORO,125178,MARLBORO - GOLD (3.5) KS  600 TRANSPARENT BUNDLE - TURKEY DF,600,0,0,1815600,0,0,1,0,0,323822.7
El Salvador,San Salvador Comalapa,PMI,MARLBORO,139306,MARLBORO - GOLD (3.5) 100's RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,0,0,50000,0,0,11,0,0,7000
Nicaragua,Managua,PMI,MARLBORO,139312,MARLBORO - SILVER BLUE (3.5) KS RCB WHITE - GENERIC DF-ENG TXT,200,0,4600,10200,0,6,7,0,690,1530
Mexico,Mazatlan,PMI,L&M,123648,L&M - DOUBLE FORWARD MENTHOL KS RCB WHITE - GENERIC DF-ENG TXT,200,0,2600,0,0,2,0,0,403,0
Cambodia,Siem Reap,OTHER LOCAL TMO IND.,ORIS,114495,ORIS - PANDA (BLACK) KS BOX SUPERSLIMS,200,200,1000,0,1,3,0,0,136,0
Sri Lanka,Colombo,KT & G,ESSE,46853,ESSE - LIGHTS 100's BOX SUPERSLIMS,200,0,145800,373000,0,9,12,0,13918.03,39165
India,Goa,BAT,UNDEFINED,0,UNDEFINED,0,23439,28808,0,3,2,0,0,0,0
Brazil,Fortaleza,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,200,0,0,1400,0,0,2,0,0,189
Egypt,Aswan,PMI,L&M,104939,L&M - RED LABEL (4.0) KS RCB - EG05 NEW TEXT HW DF,200,49360,0,0,6,0,0,5429.6,0,0
Colombia,Bogota,JTI,GLAMOUR,54225,GLAMOUR - MENTHOL 100's L-STICK BOX SUPERSLIMS,400,400,0,0,1,0,0,42,0,0
Cambodia,Siem Reap,CHINA NATIONAL,ALISHAN,103420,ALISHAN - KS SOFT SUPERSLIMS,200,200,0,0,1,0,0,,0,0
Morocco,Essaouira,BAT,LUCKY STRIKE,103220,LUCKY STRIKE - CLICK 4 MIX KS BOX C,200,11,0,0,1,0,0,1.595,0,0
Ghana,Accra,BAT,VOGUE,51509,VOGUE - MENTHE 1 MENTHOL 100's BOX SUPERSLIMS,400,0,0,11600,0,0,2,0,0,1538.2
Turkey,Cukurova Airport,PMI,MARLBORO,114636,MARLBORO - TOUCH AQUA KS RCS C SLIMS WHITE - TURKEY DF,200,0,0,5600,0,0,3,0,0,1228.96
China,Shenzhen Bao'an,JTI,SALEM,44768,SALEM - MENTHOL KS BOX,200,0,12711,0,0,10,0,0,7372.38,0
South Korea,Seoul,PMI,MARLBORO,147067,MARLBORO - GOLD (3.5) KS RCB (PROMO) WHITE - KOREA DF,200,0,0,40000,0,0,2,0,0,6000
