DF_Market,Location,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp_Total,SoM_Comp
Germany,Hamburg,Regular,Lights,STD,KS,1,8,25.000000000000
Saudi Arabia,Jeddah,Menthol,Full Flavor,SSL,100,1,14,7.142857000000
China,Xuzhou Guanyin,Menthol,Full Flavor,SLI,100,1,2,50.000000000000
Morocco,Tangier,Regular,Full Flavor,SLI,KS,1,27,3.703704000000
Mexico,Guadalajara,Menthol,Full Flavor,STD,KS,1,13,7.692308000000
Great Britain,Exeter,Regular,Ultralights,STD,KS,1,3,33.333333000000
Spain DP,Asturias,Regular,Ultralights,STD,KS,1,4,25.000000000000
South Korea,Cheongju,Menthol Caps,Full Flavor,SSL,100,1,55,1.818182000000
Spain DP,Sevilla,Regular,Lights,STD,100,1,16,6.250000000000
Great Britain,Bournemouth,Regular,Full Flavor,STD,KS,3,9,52.314814666667
Aruba,Oranjestad,NTD Caps,Full Flavor,STD,KS,2,18,17.777777500000
Mexico,Cozumel,Menthol Caps,Full Flavor,STD,KS,1,5,20.000000000000
Turkey,Antalya Gazipasa Airport,Menthol Caps,Full Flavor,STD,KS,1,13,7.692308000000
Ivory Coast,Abidjan,Regular,Full Flavor,SSL,100,1,15,20.000000000000
Japan,Osaka - Kansai,Regular,Lights,STD,KS,1,30,3.333333000000
Turkey,Ankara Airport,Menthol,Full Flavor,SSL,100,1,37,9.684685000000
Colombia,Bogota,Regular,Full Flavor,STD,KS,3,20,61.666666666667
Italy,Milan - Malpensa,Regular,Lights,STD,KS,2,11,27.045454500000
Japan,Kagoshima,NTD Caps,Full Flavor,SSL,100,1,1,100.000000000000
Kazakhstan,Almaty,Regular,Lights,STD,100,1,1,100.000000000000
Greece,Athens,Regular,Lights,STD,100,1,13,8.012820500000
United Arab Emirates,Abu Dhabi,Regular,Full Flavor,STD,KS,5,18,59.108429666667
Spain,Madrid Barajas,NTD Caps,Full Flavor,STD,KS,1,16,6.250000000000
France,Grenoble,Regular,Full Flavor,STD,100,1,3,33.333333000000
Kosovo,PRISTINA,NTD Caps,Full Flavor,STD,KS,2,21,16.666666500000
China,Yinchuan Hedong,Regular,Full Flavor,SSL,100,2,10,34.444444333333
Dominican Republic,Puerto Plata,Regular,Full Flavor,STD,KS,2,17,54.411764500000
Brazil,Brasilia,NTD Caps,Full Flavor,STD,KS,2,14,18.452381000000
Caribbean Other,Basseterre (Saint Kitts),Regular,Ultralights,STD,KS,1,9,11.111111000000
China,Wenzhou Longwan,Regular,Lights,STD,KS,1,20,10.000000000000
Nicaragua,Managua,Menthol,Full Flavor,STD,KS,1,4,25.000000000000
Kazakhstan,Astana,Regular,Full Flavor,SSL,100,1,6,18.333333500000
Mexico,La Paz Manuel Marquez de Leon,Regular,Full Flavor,STD,KS,1,3,100.000000000000
China,Fuzhou Changle,Regular,Lights,STD,KS,1,20,10.000000000000
Mexico,Mazatlan,NTD Caps,Full Flavor,STD,KS,1,11,9.090909000000
Turkey,Gaziantep Airport,Regular,Full Flavor,SLI,KS,1,2,50.000000000000
Switzerland,Zurich,NTD Caps,Full Flavor,STD,KS,2,24,10.416666500000
South Korea,Busan - Kimhae,Regular,Lights,STD,KS,1,15,6.666667000000
Poland,Warsaw-Modlin,Regular,Full Flavor,STD,KS,1,2,50.000000000000
South Korea,Incheon,Regular,Lights,STD,KS,1,13,7.692308000000
Greece,Skiathos,Regular,Full Flavor,SSL,100,1,3,33.333333000000
Great Britain,Aberdeen,NTD Caps,Full Flavor,STD,KS,1,9,11.111111000000
Mexico,Monterrey,Regular,Lights,STD,KS,1,11,21.212121000000
Turkey,Gaziantep Airport,NTD Caps,Full Flavor,STD,KS,2,31,14.764268000000
Greece,Rhodes,Regular,Lights,STD,100,1,12,9.166666500000
Armenia,Yerevan,Regular,Full Flavor,SSL,100,3,19,34.978070000000
Spain,Mahon Airport,Menthol,Full Flavor,STD,KS,1,16,6.696428500000
Tunisia,Enfidha,Menthol,Full Flavor,SSL,100,1,20,5.000000000000
China,Jinan Xiaoqiang,Menthol,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Japan,Fukuoka,Menthol Caps,Full Flavor,STD,100,1,59,1.694915000000
Greece,Alexandoupolis,Regular,Full Flavor,STD,KS,3,10,66.875000000000
Great Britain,London Gatwick,Menthol,Full Flavor,STD,KS,1,13,8.012820500000
France,Lyon Saint Exupery,Menthol,Full Flavor,STD,100,1,11,9.090909000000
Morocco,Nador,Regular,Full Flavor,STD,KS,2,13,59.487179333333
Canary Islands,Gran Canaria,NTD Caps,Full Flavor,STD,KS,1,15,6.666667000000
Saudi Arabia,Jeddah,NTD Caps,Full Flavor,STD,100,1,9,11.111111000000
France,Toulouse,Regular,Lights,STD,100,1,14,9.821428500000
Great Britain,Glasgow,Regular,Lights,STD,KS,2,13,25.874125500000
China,Yanji Zhaoyangchuan,Menthol,Full Flavor,SSL,100,1,3,33.333333000000
Morocco,Essaouira,Regular,Full Flavor,STD,100,1,15,6.666667000000
Russia,Moscow - Vnukovo,Regular,Lights,STD,KS,1,12,16.666667000000
Cape Verde,Espargos,Regular,Lights,STD,KS,2,13,13.461538333333
Brazil,Florianopolis,Regular,Lights,STD,KS,1,11,9.090909000000
Lithuania,Kaunas,Regular,Lights,STD,KS,2,5,70.000000000000
Brazil,Viracopos,Regular,Lights,STD,KS,1,17,19.607843000000
Germany,Berlin Brandenburg,Regular,Full Flavor,SSL,100,1,6,16.666667000000
Dominican Republic,Punta Cana - Higuey,Menthol,Full Flavor,STD,KS,2,25,10.250000000000
Japan,Chubu,Menthol Caps,Full Flavor,STD,100,1,62,1.612903000000
Australia,Perth,Menthol,Full Flavor,STD,KS,1,15,6.666667000000
Peru,Lima,NTD Caps,Full Flavor,STD,100,1,15,6.666667000000
South Africa,Durban,Regular,Full Flavor,STD,KS,2,9,80.555555500000
Kuwait,Kuwait,Regular,Full Flavor,SSL,100,2,22,38.023088333333
Turkey,Samsun Airport,Regular,Full Flavor,SSL,KS,1,27,7.407407000000
France DP,Paris Charles De Gaulle,Regular,Full Flavor,SSL,100,1,6,33.333333000000
South Korea,Seoul,Regular,Lights,SSL,100,1,56,1.785714000000
Ireland,Dublin,Regular,Full Flavor,STD,KS,2,5,62.222222333333
Taiwan,Taipei - Taoyuan,Regular,Lights,STD,KS,2,7,54.761905000000
Canary Islands,Tenerife,Menthol,Full Flavor,STD,KS,1,16,6.458333500000
Turkey,Konya Airport,Menthol,Full Flavor,SSL,100,1,21,4.761905000000
Nigeria,Abuja,Menthol,Full Flavor,STD,KS,1,11,9.090909000000
Great Britain,Liverpool,Regular,Ultralights,STD,KS,1,4,25.000000000000
Spain DP,Asturias,Regular,Lights,STD,KS,1,4,29.166666500000
Nigeria,Abuja,Regular,Ultralights,STD,KS,1,11,9.090909000000
Germany,Stuttgart,Regular,Lights,STD,KS,1,7,14.285714000000
Saudi Arabia,Jeddah,NTD Caps,Full Flavor,STD,KS,1,14,28.571428500000
Greece,Samos,Regular,Lights,STD,100,1,5,20.000000000000
China,Guangzhou Baiyun,Regular,Full Flavor,STD,100,1,20,5.000000000000
Colombia,Cali,Menthol,Full Flavor,SSL,100,1,10,10.000000000000
China,Xiamen Gaoqi,Regular,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Mongolia,Ulaanbaatar,NTD Caps,Full Flavor,STD,KS,2,12,16.666666500000
Indonesia,Soekarno Hatta,Regular,Lights,STD,KS,1,5,35.000000000000
China,Guangzhou Baiyun,Menthol,Full Flavor,SSL,100,1,3,33.333333000000
Senegal,Leopold Sedar Senghar,Regular,Full Flavor,SSL,100,2,19,12.406015000000
Indonesia,Ngurah Rai,Regular,Lights,SSL,100,1,11,14.545454500000
France DP,Lille,Regular,Lights,STD,KS,1,6,33.333333000000
Malaysia,Kota Kinabalu,Menthol Caps,Full Flavor,STD,KS,1,7,14.285714000000
Great Britain,Birmingham,Menthol,Full Flavor,STD,KS,1,13,8.012820500000
Spain DP,Sevilla,NTD Caps,Full Flavor,STD,KS,1,12,8.333333000000
Spain DP,Barcelona,Regular,Lights,STD,KS,2,19,22.072368500000
China,Xiamen Gaoqi,Regular,Full Flavor,SSL,100,2,10,34.444444333333
Dominican Republic,Santo Domingo Las Americas,NTD Caps,Full Flavor,STD,KS,2,16,17.708333500000
