DF_Market,Location,CR_BrandId,$theyearbefore NOR,$previous_year NOR,$current_year NOR,$theyearbefore MC,$previous_year MC,$current_year MC
Spain,Alicante,122499,84724.313442452,198870.009609764,1168752.27174374,79104.760442452,170151.447609764,1014192.12674374
Azerbaijan,Baku,139269,0,30127.726,1410537.583,0,21601.444,1122922.651
Turkey,Dalaman Airport,122610,0,4384.846525144,73525.098379437,0,3715.559525144,63709.908379437
Oman,Muscat,122948,81013.5,157962.016,997152.855,71755.54,137819.735,878323.479
Tanzania,Dar Es Salaam,114698,12143.115449858,24342.862974762,45380.838343313,9974.289449858,19495.646974762,37082.939343313
Qatar,Doha,125838,0,0,215947.295,0,0,186885.431
Mexico,Guadalajara,144768,0,0,57786.072,0,0,43727.098
Brazil,Belo Horizonte,123649,414.048,1086.231,3042.611,377.688,837.352,2398.543
Spain DP,Santiago De Compostela,121053,5525.922977572,24591.031255522,0,4767.368977572,16964.789255522,0
Great Britain,Aberdeen,122749,14156.174096171,40838.096423737,170373.929029068,13241.040096171,34676.020423737,146546.624029068
France DP,Bordeaux,122774,-224.856948058,95.036633076,284.863260547,-230.075948058,83.183633076,200.434260547
France DP,Tarbes - Lourdes,123635,-632.639523073,163.082863083,0,-646.558523073,104.188863083,0
India,Jaipur,139345,0,0,4429.477,0,0,3804.996
Mexico,Guadalajara,142119,0,5639.07,224684.215,0,4423.128,168703.913
Bahrain,Manama,137314,0,131992.621,704133.687,0,117781.497,633107.857
Caribbean Other,Port-au-Prince (Haiti),125088,0,580.9,2719.6,0,434.772,2092.238
Russia,Min Vody,121956,89.713471554,2186.157771812,4807.973545759,75.795471554,1810.207771812,3940.785545759
Jordan,Amman,149170,0,0,683679.663,0,0,517227.852
South Africa,Durban,113677,3281.911260694,5610.825938001,12203.001854165,2697.335260694,4471.814938001,9816.666854165
India,Goa,125594,0,0,29958.819,0,0,26169.305
China,Changchun Longjia,105626,1219.22,20955.091,113836.983,990.888,16507.174,89733.319
Great Britain,Humberside,122750,336.826395849,2579.791152191,4565.568684929,310.730395849,2128.251152191,3817.373684929
Turkey,Kutahya Airport,123819,0,0,43887.973129887,0,0,37175.696129887
Myanmar,Yangon,125484,0,9014.446,74298.501,0,7446.543,62091.154
Germany,Dortmund,125729,361.938304018,942.269797021,440.288035229,319.518304018,832.711797021,390.815035229
France,Strasbourg,123636,1113.952520593,10070.662310219,51082.586640999,1054.798520593,8975.895310219,45962.431640999
India,Jaipur,123518,0,0,26978.661,0,0,22783.797
Indonesia,Soekarno Hatta,122346,74384.8,323251.243,945620.728,66875.824,286563.427,840703.85
Cambodia,Phnom Penh,125484,0,112155.599,286741.258,0,87410.86,226942.523
Tunisia,Monastir,123648,0,34150.970377497,43173.809202048,0,22008.724377497,28224.430202048
Turkey,Gaziantep Airport,41603,0,140.005444023,13024.539566646,0,120.386444023,10853.715566646
Greece,Santorini,120915,5804.859451674,4247.092691155,675.524719067,5288.138451674,3510.314691155,561.299719067
China,Wuhan Tianhe,110727,0,415.576,0,0,329.979,0
Poland,Wroclaw,125049,541172.990408682,78294.870204058,0,464204.930408682,65613.917204058,0
Czech Republic,Brno,123667,9219.947621377,59257.177318308,1015561.68380927,7401.947621377,47012.617318308,945300.153809266
Saudi Arabia,Medina,139321,0,2566.720779656,52614.38198888,0,2091.056779656,46586.80598888
Bulgaria,Sofia,120927,0,22245.228599331,412555.28762212,0,14325.013599331,298534.598622119
Mexico,Monterrey,125835,0,407.642,2386.673,0,321.741,1902.36
Egypt,Alexandria,123020,0,12780.246,14416.48,0,9133.726,8505.678
Japan,Naha,122955,0,0,99203.582134199,0,0,86108.445134199
Spain DP,Valencia,122449,26058.277230562,116752.602644621,130768.330685194,22359.462230562,82386.925644621,95142.678685194
China,Hefei Xinqiao,105689,0,1329.734,6881.692,0,895.267,4632.063
Bolivia,La Paz El Alto,91755,2809.8,3256.349,0,2663.657,2249.856,0
Ukraine,Kyiv - Zhulyany,98669,23.547434102,0,0,20.067434102,0,0
Brazil,Viracopos,104440,36.282,941.526,0,32.802,713.704,0
Tunisia,Monastir,125377,0,14243.335797385,0,0,11904.250797385,0
India,Anna,125839,0,0,14096.817,0,0,11914.381
Greece,Chania,121895,1233.249217638,662.619380845,1325.134456101,995.299217638,339.104380845,874.754456101
China,Wuhan Tianhe,122801,0,0,0,0,-16.897,0
