SKU,Item per Bundle,CR_BrandId,DF_Market,Location,TMO
MARLBORO - RED 3.5 KS BOX 400 - GENERIC DF-ENG TXT,400,125841,Egypt,Hurgada,PMI
MAYFAIR - SKY BLUE KS BOX,200,46686,Spain,Murcia,JTI
L&M - RED LABEL (5.0 CWB) KS RCB - TURKEY DF,200,122589,Turkey,Eskisehir Airport,PMI
REGAL - KS BOX,200,44605,Canary Islands,Tenerife,IMPERIAL BRANDS
CAMEL - ACTIVATE KS BOX C,200,67982,Turkey,Kayseri Airport,JTI
LUCKY STRIKE - RED KS BOX,400,45366,Germany,Duesseldorf,BAT
CASTER - MILD KS BOX,200,46127,China,Chengdu Tianfu,JTI
CAMEL - (BLUE) KS BOX,200,45351,Mexico,Cozumel,JTI
MARLBORO - (GOLD 3.0) 100's RCB WHITE - JORDAN DF,200,113600,Jordan,Amman,PMI
ROTHMANS - (BLUE) KS BOX,200,46008,Martinique,Fort-de-France,BAT
LAMBERT & BUTLER - LIGHTS KS BOX,200,43914,Turkey,Istanbul Asia Airport,IMPERIAL BRANDS
PARLIAMENT - AQUA BLUE 100's RCB WHITE - TAIWAN DF,200,55829,Taiwan,Everrich Downtown Kinmen,PMI
ZHONG NAN HAI - FIVE KS BOX,200,56694,China,Nanchang Changbei,CHINA NATIONAL
KENT - SILVER NEO KS RCB,600,53858,Turkey,Cukurova Airport,BAT
LAMBERT & BUTLER - LIGHTS KS BOX,200,43914,Great Britain,Birmingham,IMPERIAL BRANDS
MARLBORO - (RED FWD) KS SOFT - LEBANON DF,200,98239,Lebanon,Beirut - Rafik Hariri,PMI
L&M - RED LABEL 100's SOFT 600 - TURKEY DF,600,57069,Turkey,Samsun Airport,PMI
KENT - NANOTEK (SILVER) KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,400,55421,Turkey,Bodrum Airport,BAT
MARLBORO - GOLD (3.5) KS RCB - ENGLISH GHW TPD2 DF - IDM SWEDEN,200,122909,Sweden,Umea,PMI
SILK CUT - SILVER KS BOX,600,46016,Great Britain,London Stansted,JTI
GAULOISES - BLONDES (RED) KS BOX,200,45358,Canary Islands,Fuerteventura,IMPERIAL BRANDS
MARLBORO - (RED FWD) KS BOX 600 SPECIAL OUTER - NORTH AFRICA DF,600,101080,Morocco,Casablanca,PMI
MARLBORO - (GOLD 3.0) KS RCB WHITE - JAPAN DF,200,113865,Japan,Naha,PMI
MAYFAIR - KS BOX,200,44279,Greece,Corfu,JTI
MARLBORO - DOUBLE BURST (2.0) MENTHOL KS BOX C WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,105626,China,Yantai Penglai,PMI
DUNHILL - SWITCH (GREEN) KS OCTAGONAL PACK C,200,103540,Tunisia,Sfax,BAT
CLOUD 9 - 100's OCTAGONAL PACK SUPERSLIMS,200,52984,South Korea,Daegu,KT & G
VOGUE - BLEUE 100's BOX SUPERSLIMS,400,51105,France,Marseille,BAT
MARLBORO - (GOLD 3.0) KS RCB - AFRICA DF-ENG TXT,200,114698,Kenya,Jomo Kenyatta,PMI
LARK - HARMONY KS RCB WHITE - KOREA DF,200,108457,South Korea,Jeju,PMI
GAULOISES - BLONDES (BLUE) KS BOX,200,45969,Morocco,Agadir,IMPERIAL BRANDS
MARLBORO - (RED FWD) KS BOX - TURKEY DF,200,94142,Turkey,Diyarbakir Airport,PMI
CHESTERFIELD - ORIGINAL BLUE KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,121897,France,Nice,PMI
WINSTON - BLUE KS RCB,600,53483,Morocco,Tangier,JTI
STERLING - DUAL KS BOX C,200,99392,Great Britain,Edinburgh,JTI
STERLING - DUAL KS BOX C,200,99392,Great Britain,Liverpool,JTI
REGAL - KS BOX,400,44605,Great Britain,London Gatwick,IMPERIAL BRANDS
PEACE - (BLUE) 100's TIN,200,71000,Japan,Fukuoka,JTI
BENSON & HEDGES - SILVER KS BOX,200,42858,Great Britain,Newcastle,BAT
MARLBORO - (RED FWD) KS BOX 400 TRANSPARENT BUNDLE - EGYPT DF - EGYPTAIR,400,125131,Egypt,Hurgada,PMI
CAMEL - BLUE KS BOX,200,52735,Netherlands,Rotterdam,JTI
ESSE - SPECIAL GOLD 100's BOX SUPERSLIMS,200,52613,South Korea,Busan - Kimhae (downtown),KT & G
