Location,TotalSKU,GreenSKU,RedSKU
Asuncion Silvio Petterossi,9,2,2
Zhengzhou Xinzheng,14,0,8
Samana El Catey,11,1,2
Kavala,7,2,4
Wuxi Shuofang,9,0,4
Basseterre (Saint Kitts),16,3,7
Guayaquil,11,0,3
Oita,3,1,1
Lulea,4,2,1
Makhachkala,6,1,4
Bremen,4,0,3
Bourgas,4,0,2
Fukushima,1,0,0
Shanghai Hongqiao,16,0,10
Kutaisi,13,1,3
Izmir Airport,76,10,30
Zia,21,2,4
Addis Ababa,19,0,11
Eskisehir Airport,58,7,10
Asyut,30,2,2
Yangyang,10,0,7
Brasilia,18,4,11
Tozeur,10,3,5
Curacao,26,3,6
Guatemala City,15,3,7
Dortmund,12,2,2
Stavanger,20,4,9
Suleymania Airport,19,2,6
Skiathos,7,1,4
Natal,18,4,7
Vienna,6,0,4
Mexico City,22,1,15
Mahon Airport,9,0,4
Heraklion Airport,20,4,10
Brno,4,1,1
Xiamen Gaoqi,13,0,7
Adelaide,4,2,1
Novosibirsk,1,0,0
Taiyuan Wusu,5,0,0
Cape Town,8,2,4
Graz,6,1,3
Kayseri Airport,69,6,18
Rio de Janeiro,20,1,12
Colombo,31,4,15
Samsun Airport,81,9,32
Oujda,24,1,15
Tashkent,11,2,2
Milan - Malpensa,17,4,9
Cukurova Airport,66,8,11
Tarbes - Lourdes,7,1,3
Bologna,10,2,5
Fes,27,2,18
Cancun,22,1,14
Incheon,24,0,15
Busan - Kimhae,23,0,12
Ostrava,6,1,2
Abu Dhabi,33,9,19
Kos,12,2,8
Casablanca,31,0,20
Florianopolis,17,4,8
Yinchuan Hedong,12,0,7
Lille,8,1,2
Belo Horizonte,20,3,9
Kunming Wujiaba,16,0,7
Oranjestad,23,6,13
Xuzhou Guanyin,8,0,4
Bamako,3,2,1
Humberside,5,0,3
Tuzla,12,2,2
Astana,9,2,6
Haiphong,4,1,1
Kinshasa,5,1,2
Munich,12,2,8
Shizuoka,6,1,2
Brussels,3,0,1
Weihai Dashuibo,7,0,2
Leeds Bradford,6,0,4
PRISTINA,2,0,0
Kalibo,2,1,1
Mazatlan,17,2,6
Seoul,24,0,17
Ankara Airport,77,10,28
Denizli Cardak Airport,30,4,11
Hanoi,13,3,3
Osaka - Kansai,30,0,17
Gaziantep Airport,84,9,35
Bilbao,7,0,5
Puerto Vallarta,21,4,11
Hyderabad,24,4,6
Vigo,7,1,4
Singapore - Changi,16,2,3
Wuhan Tianhe,15,0,10
Mitilini,5,0,4
Ixtapa Zihuatanejo,14,2,8
Hangzhou Xiaoshan,17,0,10
Nuernberg,14,2,4
Kilimanjaro,9,1,6
Puerto Plata,19,3,8
Birmingham,6,0,4
Durban,8,2,4
Agadir,29,1,20
Rome Fiumicino,16,3,8
Cayenne,13,3,5
Ibiza,9,0,5
Stuttgart,10,3,5
Porto,6,0,4
Urumchi Diwobao,15,0,10
Quanzhou,8,2,0
Yangon,7,1,4
Paderborn,7,1,4
Mendoza,7,2,2
Bristol,6,0,4
Yerevan,5,0,3
Florence,13,3,7
Eindhoven,3,0,1
Ngurah Rai,9,0,3
Norwich,6,0,4
Lagos,7,0,4
Everrich Downtown Kinmen,15,3,7
Strasbourg,6,1,3
Sao Paulo - Guarulhos,21,3,12
Vientiane,10,3,4
Amman,39,11,23
Queretaro,5,1,1
Luanda,10,1,4
Sendai,13,2,4
Aomori,4,1,1
Southampton,6,0,4
Baghdad,22,3,3
Corfu,19,3,11
Astrakhan,10,1,4
Marrakech,29,0,18
Ibaraki,7,2,2
Soekarno Hatta,11,1,5
Ho Chi Minh,11,3,6
Cardiff,6,0,4
Daegu,20,0,14
Kralendijk (Bonaire),11,1,4
Wenzhou Longwan,9,0,3
Pamandzi,8,1,0
Sanya Fenghuang,5,0,1
Kaohsiung,15,2,8
Verona,13,2,4
Gran Canaria,8,0,5
Min Vody,9,2,5
Cork,4,0,3
Edinburgh,6,0,4
Guernsey,2,1,1
Katima Mulilo,2,1,1
Fuzhou Changle,9,0,3
Bergamo,14,2,5
Managua,18,3,4
Jeju,24,0,15
Basel,12,0,8
Guangzhou Baiyun,15,0,9
Valencia,9,0,6
Aberdeen,6,0,4
Panama Tocumen,28,4,7
Venice,16,1,7
Tel-Aviv,20,4,5
Dar Es Salaam,11,3,8
Lodz,12,2,4
Guiyang Longdongbao,3,1,1
Tokyo - Haneda,28,4,6
Medellin Jose Maria Cordova,29,2,7
Djibouti,4,2,0
Perth,11,0,8
Essaouira,18,2,13
Yanji Zhaoyangchuan,5,0,1
Sochi,10,2,6
Bournemouth,6,0,4
Olsztyn,10,2,3
Salzburg,6,1,4
Nice,14,4,8
Poznan-Lawica,11,1,3
Cairns,4,2,0
Chambery,3,0,2
Dalian Zhoushuizi,6,0,2
Exeter,6,0,3
Glasgow,6,0,4
Samos,4,0,3
Umea,4,1,1
Ekaterinburg,6,1,2
Lanzarote,8,0,4
Viracopos,18,2,11
La Paz Manuel Marquez de Leon,13,1,1
Tokyo - Narita,28,0,18
Doha,49,5,7
Male,30,2,7
Charleroi,3,0,2
Phnom Penh,10,0,3
Montpellier,11,1,1
Chongqing Jiangbei,15,0,9
Belize City,21,2,5
Batumi,13,1,5
La Romana,18,4,5
Fortaleza,16,2,4
Zakynthos,12,0,9
Muan,13,0,9
Auckland,6,0,1
Mandalay,8,2,1
Manama,35,7,16
Phu Quok,13,3,5
Munster-Osnabruck,14,1,3
Lima,22,0,16
Krakow Balice,13,3,6
Chubu,27,0,15
Belgrade,6,0,4
Buenos Aires - Ezeiza,9,1,1
Hong Kong,16,0,12
London Gatwick,6,0,4
Hohhot Baita,7,0,0
Jerez De La Frontera,7,0,4
Warsaw,13,2,6
Sofia,6,0,3
Iwate,1,0,0
Zanzibar,10,1,3
Nykoping,2,1,0
Bangui,2,0,0
Juba,2,1,1
Istanbul Asia Airport,90,11,34
Malmo,6,1,3
Torino,10,1,3
Chattrapati Shivaji,23,3,6
Baku,21,2,5
Oslo,20,1,7
Copenhagen,8,1,4
Monterrey,20,2,8
