Year,EBROMId,Volume
2024,60212652,7384
2024,60048926,13338
2024,50056854,1966331
2024,60164818,3703
2024,60100076,82228
2024,50075699,378005
2024,60165875,373754
2024,60243074,58733
2024,50058940,6874
2024,60076938,48
2024,60281114,632
2024,60205700,5028
2024,60163552,243552
2024,50078082,5775
2024,60230493,10073
2024,60275215,203632
2024,60128187,14002
2024,60256568,16381
2024,60166141,64467
2024,60271676,14
2024,50002673,55143
2024,60046275,5078
2024,60272299,124
2024,60169934,197
2024,50005988,2865157
2024,60169099,10209
2024,60194584,2341
2024,60169850,10794
2024,60207638,25225
2024,60184881,8370
2024,60240267,37686
2024,60208408,180
2024,60197635,8186
2024,60246653,1754
2024,60169963,57989
2024,50046902,4
2024,50065131,4535
2024,60184642,1440
2024,60214266,64798
2024,60055297,9107
2024,60127729,104799
2024,60168391,20681
2024,60078747,974
2024,60193902,14254
2024,60119448,5385243
2024,60123487,124929
2024,50011781,3009
2024,60062653,1884
2024,60205998,194410
2024,50015366,376
2024,60096045,2431
2024,60162035,78
2024,50011004,6385
2024,60137744,2168
2024,50046710,12306
2024,60124759,47
2024,50061454,29558
2024,50046596,17656
2024,60126569,1416
2024,60128449,4
2024,50048275,719
2024,60239357,122665
2024,60206956,183
2024,50008603,13647
2024,50047423,9568
2024,60236888,434
2024,60257290,4535
2024,60056233,4304
2024,60125177,6273
2024,60197520,27896
2024,60271611,2168
2024,60212866,28008
2024,50073854,143
2024,60208236,247821
2024,60135914,81545
2024,60271689,133
2024,60192366,1887
2024,60209683,58422
2024,60280379,277
2024,60206106,25762
2024,60210748,21864
2024,60124159,138125
2024,60196546,86
2024,60136145,20503
2024,60196696,513435
2024,60213567,26881
2024,60125716,46889
2024,60236395,2883
2024,60098332,3561
2024,60075248,8370
2024,60206266,9
2024,60189191,41359
2024,60278716,94814
2024,60123324,3123
2024,60210790,35456
2024,50075815,545077
2024,50057989,7178
2024,60243383,24843
2024,60077492,590
2024,60164752,12141
2024,60238735,2602
2024,60196561,30938
2024,60213617,382809
2024,60041089,28227
2024,60051351,13512
2024,60272009,3315
2024,50069392,6
2024,60061449,53889
2024,60205332,55115
2024,60052001,21302
2024,60279566,40611
2024,60131177,168
2024,60128727,7605
2024,50008731,6972
2024,50075286,867967
2024,60196867,13840
2024,50080448,3364
2024,60196270,18381
2024,50064735,942
2024,60207409,66698
2024,60054178,1472574
2024,60232470,19053
2024,60123154,114
2024,60075632,60058
2024,60064145,168
2024,50011051,322218
2024,50071245,5609
2024,60128554,5401
2024,60195986,56
2024,60275217,58453
2024,50040461,19443
2024,60238351,3813
2024,60183013,6
2024,60230008,62333
2024,60247276,14938
2024,60065416,7005
2024,60275862,1152
2024,50002557,1952
2024,60231208,2450
2024,60074485,84445
2024,60137532,645
2024,60163951,28197
2024,60167136,29
2024,60209376,460110
2024,60258682,927
2024,60196340,49749
2024,60125123,3837
2024,60241407,41
2024,60196898,52736
2024,60197437,926
2024,50064083,53989
2024,60237622,33
2024,60275245,572
2024,50063769,2467600
2024,50072534,11128
2024,60210713,10054
2024,60236468,19302
2024,60122900,43771
2024,50064190,106683
2024,60054127,33387
2024,60188665,2940
2024,60123364,76178
2024,60194340,218294
2024,60126775,97764
2024,60199077,9654
2024,60214188,3607
2024,60240447,8299
2024,60036922,151286
2024,60274989,6806
2024,60073943,18683
2024,60183464,804
2024,60212527,1246
2024,60135148,1080945
2024,60197365,78374
2024,60208018,764
2024,60073040,8543
2024,60055342,6263
2024,60121146,127448
2024,60184739,40846
2024,50031461,33245
2024,60223254,157750
2024,60076888,10548
2024,60241396,16
2024,60205334,298106
2024,60256847,1964
2024,60276031,3696
2024,60169073,4348
2024,60207827,27130
2024,60208302,231
2024,60062691,21648
2024,50040474,6041
2024,50002408,226229
2024,60121871,408
2024,60075650,30521
2024,60039358,1038
2024,50075323,47862
2024,50033828,22399
2024,60076648,8357
2024,60207015,681023
2024,50066321,344298
2024,60258965,65051
2024,60078283,18259
2024,50071880,10885
2024,60214210,26
2024,50076891,43677
2024,60241360,152313
2024,60166002,73
2024,50072313,5696
2024,60077621,859
2024,50072220,2795179
2024,60081131,322643
2024,50078983,700
2024,60043559,33806
2024,60195901,54060
2024,60061795,188579
2024,60098428,25930
2024,50001471,16014
2024,60197246,142973
2024,60074645,2780165
2024,60130473,22795
2024,60078844,687796
2024,60119478,14
2024,60212524,23176
2024,60137118,282267
2024,60075640,23472
2024,60168316,2737
2024,60207694,3913
2024,60125314,4658
2024,60207809,4535
2024,60128561,6828
2024,50064407,31065
2024,60207824,32383
2024,60235887,28651
2024,60169109,599403
2024,50040271,1691
2024,60078113,6
2024,60070952,10148
2024,60062883,5596
2024,50012147,4772171
2024,60193580,237
2024,60247167,5419
2024,60275208,248006
2024,60197137,22919
2024,60234176,9806
2024,60125297,51100
2024,60049904,2380
2024,50048390,7357
2024,60240287,41359
2024,60206289,1572
2024,60195565,352
2024,60126162,53351
2024,60197229,29015
2024,60126720,1416
2024,60123472,17242
2024,60212649,12140
2024,50022473,24053
2024,60236975,7214
2024,60239045,123235
2024,60163613,4513
2024,60130180,174881
2024,60195749,83978
2024,60184669,27433
2024,50008395,18086
2024,60198961,45533
2024,60212411,63252
2024,60205502,131
2024,60073027,352953
2024,60137139,14238
2024,60077019,2075
2024,60213190,97
2024,60247145,1330
2024,60236875,978
2024,60062733,639713
2024,60231780,13368
2024,60246674,1453
2024,60038877,257
2024,50054887,76343
2024,60236029,11
2024,60052859,570
2024,60212688,143143
2024,60212706,86
2024,60077013,23979
2024,60081580,9734
2024,60232289,990
2024,50029424,383926
2024,60165876,1256889
2024,60213587,42698
2024,60065445,4386
2024,60127763,5987
2024,50073683,448
2024,60199506,11039
2024,60207643,1
2024,60065390,16202
2024,60165839,137260
2024,60046409,61055
2024,60207740,501
2024,60167346,8053
2024,50019752,7218
2024,60183573,39861
2024,60053946,8759
2024,60055296,70660
2024,60257522,43805
2024,60078771,158
2024,50080524,1040
2024,60053116,208
2024,60072176,1040911
2024,60276378,3166
2024,60119353,39592
2024,50041453,18386
2024,60271658,40934
2024,50072463,549
2024,60188943,6505
2024,50000353,11381
2024,60211541,118945
2024,60078480,28798
2024,60258589,13585
2024,60184674,12836
2024,60275214,23477
2024,60212195,27219
2024,50015413,2
2024,50071781,80207
2024,60076387,728876
2024,60258989,27978
2024,50074192,1465944
2024,60273576,14700
2024,50078980,2581
2024,50064727,119612
2024,60199015,57958
2024,60234533,1544
2024,60194066,104014
2024,60232586,25499
2024,60122542,3808
2024,60124056,644
2024,60123633,26760
2024,60056966,20060
2024,50079482,32271
2024,60206283,216
2024,60130877,163
2024,60164730,293756
2024,50077693,7528
2024,60235335,5945
2024,60126974,15162
2024,50075082,767593
2024,60208280,84428
2024,60207183,2
2024,60205476,42944
2024,60212458,39
2024,50070547,4280
2024,60162798,46349
2024,60246495,7523
2024,50058270,75766
2024,60197636,6910
2024,50050064,244
2024,60126794,81560
2024,60185730,325610
2024,60126539,63503
2024,60214215,8800
2024,60098959,4140
2024,60208020,2199
2024,60192970,8900
2024,60074961,15721
2024,60095282,1564
2024,50034486,83341
2024,60123929,24127
2024,50042315,5682
2024,60209034,4178
2024,60246478,7128
2024,50042308,30302
2024,60242821,9597
2024,60275199,11558
2024,50073962,4019
2024,60275290,15460
2024,60214081,367410
2024,60124715,8
2024,60189092,130051
2024,60136799,1006949
2024,50038132,136458
2024,60276674,201945
2024,50034062,17
2024,60210651,1160
2024,60237037,1791
2024,60199120,50611
2024,50077513,12896
2024,60124848,4756
2024,50061807,5177
2024,60243466,15914
2024,60055029,41996
2024,50071297,2308764
2024,60098672,47496
2024,60169813,3
2024,60119449,669440
2024,60040512,21946
2024,60230323,4030
2024,60258881,9852
2024,60074198,224975
2024,60211280,26068
2024,60232015,1157
2024,60185274,1186
2024,60241225,27773
2024,60239941,928
2024,60211955,2928
2024,60279467,867
2024,60243402,2379
2024,50003115,242236
2024,60205505,5
2024,60169118,5615
2024,50002118,37698
2024,60242556,235
2024,60163956,2
2024,50044821,163502
2024,60127402,2
2024,60242716,8172
2024,60097954,599767
2024,50038234,4212
2024,60233245,39585
2024,50000092,88619
2024,60188457,294352
2024,60209806,42
2024,60276035,27
2024,60213930,29151
2024,60075416,77142
2024,60182837,654
2024,60210027,1791
2024,50010790,17119
2024,50052141,3981
2024,60277195,160241
2024,60135598,48
2024,50034295,52
2024,60123455,3315
2024,60230265,348153
2024,60272119,64740
2024,50013686,374249
2024,60205803,76113
2024,60169056,9234
2024,60169844,26
2024,50019726,237437
2024,50037905,6707
2024,60166129,95
2024,60257164,1971
2024,60212329,26835
2024,50058429,164895
2024,60240870,6352
2024,60212191,70
2024,60234175,11294
2024,60205490,19
2024,60195590,14946
2024,60193982,37
2024,60240534,1
2024,60130834,88503
2024,60277216,8457
2024,60208685,82830
2024,60056188,6835
2024,60272439,51469
2024,60054267,31031
2024,60205226,239
2024,50009749,213896
2024,60212108,33118
2024,60275178,2043
2024,60183171,2020
2024,60238520,7299
2024,60196787,1906550
2024,50064925,6108
2024,60236964,401011
2024,60258328,20072
2024,50065073,4
2024,60192631,160276
2024,60210344,12795
2024,50022651,4
2024,60214424,29352
2024,60123362,3961
2024,60236096,21
2024,60082385,19037
2024,60167036,5428
2024,60077057,249
2024,60192257,32
2024,60209331,9319047
2024,50041638,6555
2024,60129135,7051
2024,60205717,60095
2024,60061839,167
2024,60232367,506
2024,60079479,314361
2024,50004795,571
2024,60164913,1085
2024,60211932,4
2024,50017687,17308
2024,60238794,680622
2024,60049905,33064
2024,50063253,350
2024,60236868,71063
