DF_Market,Location,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Martinique,Fort-de-France,Menthol,Full Flavor,STD,100,1,19,5.263158000000
Spain DP,Vigo,Regular,Full Flavor,SSL,100,1,8,12.500000000000
Brazil,Brasilia,Regular,Lights,STD,KS,2,34,5.882353000000
Greece,Alexandoupolis,Regular,Full Flavor,SSL,100,4,31,12.903226000000
China,Jinan Xiaoqiang,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Croatia,Zagreb,Regular,Full Flavor,STD,KS,2,3,66.666667000000
China,Weihai Dashuibo,Regular,Full Flavor,STD,KS,50,68,73.529412000000
Switzerland,Basel,Regular,Lights,STD,KS,5,50,10.000000000000
Saudi Arabia,Medina,NTD Caps,Full Flavor,STD,100,1,37,2.702703000000
China,Chengdu Tianfu,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
Czech Republic,Prague,Regular,Full Flavor,STD,KS,5,9,55.555556000000
Morocco,Marrakech,Menthol,Full Flavor,STD,KS,5,84,5.952381000000
Kenya,Jomo Kenyatta,Menthol,Full Flavor,STD,KS,3,36,8.333333000000
Tanzania,Dar Es Salaam,Regular,Full Flavor,SSL,100,3,26,11.538462000000
China,Changchun Longjia,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
Saudi Arabia,DAMMAM,Regular,Full Flavor,SSL,100,4,37,10.810811000000
Netherlands,Amsterdam - Schiphol,Regular,Lights,STD,KS,2,12,16.666667000000
Jordan,Amman,Menthol,Full Flavor,STD,LONGER THAN KS,1,69,1.449275000000
Japan,Osaka - Kansai,Menthol Caps,Full Flavor,STD,100,1,145,0.689655000000
Morocco,Tangier,Menthol,Full Flavor,SSL,100,4,75,5.333333000000
China,Jinan Xiaoqiang,Regular,Full Flavor,SSL,100,4,73,5.479452000000
Great Britain,London Stansted,NTD Caps,Full Flavor,STD,KS,1,30,3.333333000000
France,Nantes,Regular,Full Flavor,SSL,100,2,22,9.090909000000
China,Yancheng Nanyang,Menthol,Full Flavor,SSL,100,1,52,1.923077000000
China,Dalian Zhoushuizi,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Turkey,Bodrum Airport,Regular,Lights,STD,100,2,98,2.040816000000
Turkey,Antalya Airport,Regular,Full Flavor,STD,KS,50,104,48.076923000000
Spain,Murcia,Regular,Full Flavor,STD,KS,10,18,55.555556000000
Portugal,Madeira,Regular,Full Flavor,STD,100,1,15,6.666667000000
Germany,Munich,Regular,Lights,STD,KS,3,25,12.000000000000
Japan,Fukuoka,Regular,Full Flavor,STD,KS,52,86,60.465116000000
Morocco,Rabat,NTD Caps,Full Flavor,SSL,100,1,72,1.388889000000
Morocco,Essaouira,Menthol Caps,Full Flavor,STD,KS,1,46,2.173913000000
Indonesia,Ngurah Rai,Regular,Full Flavor,STD,KS,45,73,61.643836000000
Tunisia,Tunis,Regular,Full Flavor,STD,100,4,68,5.882353000000
Spain,A Coruna,Regular,Full Flavor,STD,KS,6,8,75.000000000000
Dominican Republic,Samana El Catey,Regular,Lights,STD,KS,1,13,7.692308000000
Spain DP,Mahon Airport,Regular,Lights,STD,KS,5,38,13.157895000000
Turkey,Istanbul Asia Airport,Regular,Lights,STD,KS,8,102,7.843137000000
Spain,Barcelona,Regular,Lights,STD,100,1,50,2.000000000000
Jordan,Aqaba,Menthol,Full Flavor,SSL,100,2,39,5.128205000000
China,Weihai Dashuibo,Regular,Full Flavor,STD,LONGER THAN KS,1,68,1.470588000000
South Korea,Jeju,Regular,Full Flavor,SLI,100,1,90,1.111111000000
Guadalupe,Pointe-a-Pitre,Regular,Full Flavor,SSL,100,2,20,10.000000000000
Spain,Santander,Regular,Ultralights,STD,KS,1,8,12.500000000000
Macau,Macau,Regular,Full Flavor,SSL,100,1,24,4.166667000000
Turkey,Istanbul Asia Airport,NTD Caps,Full Flavor,STD,KS,5,102,4.901961000000
Greece,Corfu,Regular,Full Flavor,STD,KS,19,33,57.575758000000
Canary Islands,Tenerife,Menthol,Full Flavor,SSL,KS,1,42,2.380952000000
France DP,Lyon Saint Exupery,Regular,Lights,STD,100,2,28,7.142857000000
Cape Verde,Espargos,Regular,Full Flavor,SSL,100,3,39,7.692308000000
Greece,Santorini,Menthol,Full Flavor,SSL,100,1,29,3.448276000000
Brazil,Fortaleza,NTD Caps,Full Flavor,STD,KS,6,17,35.294118000000
France,Beauvais,Regular,Full Flavor,SSL,100,1,13,7.692308000000
China,Chengdu Tianfu,Menthol,Full Flavor,SSL,100,1,73,1.369863000000
Germany,Duesseldorf,Regular,Lights,STD,KS,4,27,14.814815000000
China,Nanning Wuxu,Menthol,Full Flavor,STD,KS,3,69,4.347826000000
Great Britain,London Luton,Regular,Full Flavor,STD,100,1,22,4.545455000000
China,Harbin Taiping,NTD Caps,Full Flavor,SSL,100,1,70,1.428571000000
Turkey,Gaziantep Airport,Menthol,Full Flavor,STD,KS,1,71,1.408451000000
Grenada,St. George's Point Saline,Regular,Ultralights,STD,KS,1,25,4.000000000000
Brazil,Recife,Regular,Lights,STD,KS,2,29,6.896552000000
Spain,Santander,Regular,Lights,STD,KS,2,8,25.000000000000
Switzerland,Geneva,NTD Caps,Full Flavor,SSL,100,1,64,1.562500000000
China,Chengdu Tianfu,Regular,Lights,STD,KS,2,73,2.739726000000
China,Taiyuan Wusu,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Greece,Mykonos,Regular,Full Flavor,STD,100,1,26,3.846154000000
China,Urumchi Diwobao,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000
Guatemala,Guatemala City,Menthol,Full Flavor,SSL,100,1,19,5.263158000000
France,Nice,Regular,Lights,STD,KS,4,28,14.285714000000
Guadalupe,Pointe-a-Pitre,Regular,Full Flavor,STD,KS,16,20,80.000000000000
Caribbean Other,Basseterre (Saint Kitts),Regular,Full Flavor,STD,KS,13,24,54.166667000000
Switzerland,Zurich,Regular,Lights,STD,KS,6,68,8.823529000000
Great Britain,East Midlands,NTD Caps,Full Flavor,STD,KS,1,26,3.846154000000
Greece,Kavala,Regular,Lights,STD,100,1,17,5.882353000000
Great Britain,Edinburgh,Regular,Full Flavor,STD,KS,16,30,53.333333000000
Ethiopia,Addis Ababa,Menthol,Full Flavor,SSL,100,1,74,1.351351000000
China,Harbin Taiping,Menthol,Full Flavor,SLI,100,1,70,1.428571000000
Turkey,Diyarbakir Airport,Menthol,Full Flavor,STD,100,1,82,1.219512000000
Nigeria,Abuja,NTD Caps,Full Flavor,STD,KS,1,23,4.347826000000
China,Changchun Longjia,Menthol,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
China,Shanghai Hongqiao,Regular,Full Flavor,STD,100,2,71,2.816901000000
Turkey,Izmir Airport,Menthol,Full Flavor,SSL,100,2,103,1.941748000000
Morocco,Tangier,Regular,Full Flavor,SLI,100,1,75,1.333333000000
