SKU,Item per Bundle,CR_BrandId,DF_Market,Location,TMO
MARLBORO - (RED FWD) KS BOX 600 SPECIAL OUTER - NORTH AFRICA DF,600,101080,Tunisia,Tozeur,PMI
WINSTON - LIGHTS KS BOX,200,45191,Malaysia,Penang,JTI
DAVIDOFF - SLIMS GOLD KS OCTAGONAL PACK SLIMS,600,88913,Turkey,Eskisehir Airport,IMPERIAL BRANDS
UNDEFINED,0,0,Panama,Panama Tocumen,BAT
CAMEL - ACTIVATE KS BOX C,200,67982,Dominican Republic,Samana El Catey,JTI
PETTEROE'S - ORIGINAL KS BOX - NORWAY DF - IDM NORWAY,200,121106,Norway,Bergen,PMI
KENT - CONVERTIBLES KS RCB C,200,59762,China,Pengsheng,BAT
ESSE - (GREEN) MENTHOL 100's BOX SUPERSLIMS,200,52454,China,Qingdao Liuting,KT & G
DAVIDOFF - SILVER 100's BOX SUPERSLIMS,200,57669,China,Ningbo Lishe,IMPERIAL BRANDS
SILK CUT - PURPLE KS BOX,200,45375,Spain DP,Vigo,JTI
MARLBORO - GOLD (3.5) KS RCB - SOUTH AFRICA DF,200,123661,South Africa,Cape Town,PMI
DAVIDOFF - SLIMS WHITE 100's OCTAGONAL PACK SUPERSLIMS,400,54186,Turkey,Diyarbakir Airport,IMPERIAL BRANDS
DUNHILL - INTERNATIONAL KS BOX,200,47577,Colombia,Cali,BAT
MILD SEVEN - INTERNATIONAL KS BOX,200,45709,China,Hohhot Baita,JTI
MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,105695,China,Ningbo Lishe,PMI
DUNHILL - CAPSULE MENTHOL KS OCTAGONAL PACK C,200,61724,Morocco,Casablanca,BAT
MARLBORO - (RED FWD) KS BOX - AFRICA DF-ENG TXT,200,98236,Uganda,Entebbe,PMI
L&M - RED LABEL KS RCB WHITE - RUSSIA DF - IDM RUSSIA,200,121993,Russia,Min Vody,PMI
L&M - BLUE LABEL (5.0 CWB) KS RCB WHITE - RUSSIA DF - IDM RUSSIA,200,122527,Russia,Moscow - Domodedovo,PMI
LIQUN - (RED) KS BOX,200,60578,China,Chongqing Jiangbei,CHINA NATIONAL
MARLBORO - ICE BLAST MEGA 8 MENTHOL KS BOX C WHITE - JAPAN DF,200,119100,Japan,Hiroshima,PMI
KENT - WHITE 1 KS RCB,200,53824,Tunisia,Tunis,BAT
MARLBORO - (RED FWD) KS BOS 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT - SAUDI ARABIA,400,125326,Saudi Arabia,Jeddah,PMI
MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT - ALTERNATIVE,400,142119,Angola,Luanda,PMI
VOGUE - MENTHOL KS BOX,400,47618,Morocco,Casablanca,BAT
CAMEL - BLUE KS BOX,600,52735,Turkey,Samsun Airport,JTI
BENSON & HEDGES - GOLD KS BOX,400,42846,Senegal,Leopold Sedar Senghar,BAT
GAULOISES - BLONDES LEGERES KS BOX,200,43534,China,Pengsheng,IMPERIAL BRANDS
MARLBORO - (RED FWD) 100's RCB - GENERIC DF-ENG TXT,200,123394,Iraq,Baghdad,PMI
MARLBORO - GOLD (3.5) KS RCB - MAURITIUS DF,200,124095,Mauritius,Port Louis,PMI
MARLBORO - RED 3.5 KS BOX 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM CZECH REPUBLIC,400,125449,Czech Republic,Prague,PMI
LARK - KS BOX - JAPAN DF,200,40827,Japan,Tokyo - Narita,PMI
KENT - BLUE FUTURA KS RCB,200,51949,China,Xian Xianyang,BAT
CAMEL - BLUE KS BOX,200,52735,Serbia,Belgrade,JTI
KOOL - BOOST MENTHOL KS BOX C,200,54653,Japan,Tokyo - Narita,BAT
SILK CUT - PURPLE KS BOX,200,45375,France DP,Bordeaux,JTI
WINSTON - CLASSIC RED KS BOX,200,45379,Turkey,Istanbul Asia Airport,JTI
DAVIDOFF - EVOLVE BLUE KS BOX,200,124453,United Arab Emirates,Dubai,IMPERIAL BRANDS
LAMBERT & BUTLER - LIGHTS KS BOX,600,43914,Germany,Frankfurt,IMPERIAL BRANDS
LAMBERT & BUTLER - BLUE KS BOX,200,96896,Great Britain,London Heathrow,IMPERIAL BRANDS
STERLING - SUPERKINGS (RED) 100's BOX,200,61077,Great Britain,Manchester,JTI
WINSTON - XS FRESH MENTHOL MENTHOL 100's D-SHAPE PACK (FRONT RCB) SUPERSLIMS,200,70991,France,Paris Charles De Gaulle,JTI
DUNHILL - INTERNATIONAL 100's BOX,200,46041,China,Kunming Wujiaba,BAT
KENT - BLUE FUTURA KS RCB,200,51949,China,Wuhan Tianhe,BAT
VOGUE,200,39028,Vietnam,Hanoi,BAT
