Location,DF_Market,Flavor,Taste,Thickness,Length,DF_Vol,Real_So_Segment,Ideal_So_Segment,Delta_SoS
Guiyang Longdongbao,China,Regular,Full Flavor,SSL,LONGER THAN KS,0.000000,0.000000000000,0.011769562310,0.011769562310
Nanning Wuxu,China,Menthol Caps,1mg,STD,KS,0.000000,0.000000000000,0.001881010102,0.001881010102
Sochi,Russia,Menthol,Full Flavor,STD,100,50.800000,0.043975069252,0.000812836378,-0.043162232874
Guayaquil,Ecuador,Regular,Lights,STD,LONG SIZE,0.000000,0.000000000000,0.002514174859,0.002514174859
San Juan,Puerto Rico,Regular,Full Flavor,STD,KS,0.000000,0.000000000000,0.313220933001,0.313220933001
Beijing,China,Regular,Full Flavor,STD,LONG SIZE,0.000000,0.000000000000,0.006393127634,0.006393127634
Regina,Canada,Regular,Full Flavor,STD,100,0.000000,0.000000000000,0.003459594438,0.003459594438
Sharjah,United Arab Emirates,Regular,Full Flavor,STD,100,1380.600000,0.003631204689,0.016299781115,0.012668576426
St. Petersburg Pulkovo,Russia,Menthol Caps,Full Flavor,SSL,100,0.000000,0.000000000000,0.012593883705,0.012593883705
Fuerteventura,Canary Islands,Regular,Ultralights,STD,100,0.000000,0.000000000000,0.003683476775,0.003683476775
Yingsheng,China,Regular,Full Flavor,STD,REGULAR SIZE,0.000000,0.000000000000,0.005345488981,0.005345488981
Roland Garros,Reunion,Regular,Full Flavor,STD,REGULAR SIZE,0.000000,0.000000000000,0.006518305462,0.006518305462
Adana Airport,Turkey,Regular,Lights,SSL,100,0.000000,0.000000000000,0.020805206144,0.020805206144
Najaf,Iraq,Regular,Full Flavor,SSL,KS,0.000000,0.000000000000,0.042007222086,0.042007222086
Wuxi Shuofang,China,NTD,Full Flavor,STD,KS,0.000000,0.000000000000,0.059665395829,0.059665395829
Mahon Airport,Spain DP,Regular,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.002044726798,0.002044726798
Izmir Airport,Turkey,Regular,Full Flavor,STD,REGULAR SIZE,0.000000,0.000000000000,0.002454637857,0.002454637857
Danang,Vietnam,Regular,1mg,STD,KS,0.000000,0.000000000000,0.026873404180,0.026873404180
Zia,Bangladesh,NTD,Full Flavor,STD,KS,0.000000,0.000000000000,0.002283539289,0.002283539289
Dalian Zhoushuizi,China,NTD,Lights,STD,KS,0.000000,0.000000000000,0.004351556236,0.004351556236
Zurich,Switzerland,Regular,Lights,SLI,LONGER THAN KS,0.000000,0.000000000000,0.004289053166,0.004289053166
Dushanbe,Tajikistan,NTD,Full Flavor,SLI,KS,0.000000,0.000000000000,0.004001583091,0.004001583091
Komatsu,Japan,Menthol,Ultralights,STD,KS,0.000000,0.000000000000,0.003659021734,0.003659021734
Singapore - Changi,Singapore,NTD,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.003625212863,0.003625212863
Ulan-Ude,Russia,Regular,Ultralights,SSL,100,0.000000,0.000000000000,0.001284025973,0.001284025973
Maputo,Mozambique,Regular,Full Flavor,STD,KS,0.000000,0.000000000000,0.656888257383,0.656888257383
Glasgow,Great Britain,Regular,Ultralights,STD,100,0.000000,0.000000000000,0.003066044571,0.003066044571
Bristol,Great Britain,Regular,Ultralights,STD,KS,248.000000,0.016009089031,0.056064222386,0.040055133355
Quito,Ecuador,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.045781298265,0.045781298265
Sevilla,Spain DP,Regular,Full Flavor,STD,REGULAR SIZE,0.000000,0.000000000000,0.009509816391,0.009509816391
San Jose,Costa Rica,Menthol,Ultralights,STD,KS,0.000000,0.000000000000,0.009266174836,0.009266174836
St. George's Point Saline,Grenada,Menthol Caps,Full Flavor,STD,KS,20.400000,0.025036818851,0.030938052685,0.005901233834
Netaji Subhash Chandra Bose Int. Airport,India,Regular,Full Flavor,SLI,KS,0.000000,0.000000000000,0.013416298406,0.013416298406
Tromso,Norway,Regular,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.001304450586,0.001304450586
Beijing Daxing,China,Menthol Caps,Full Flavor,SLI,KS,0.000000,0.000000000000,0.002819177123,0.002819177123
Piarco,Trinidad and Tobago,NTD,Ultralights,STD,KS,0.000000,0.000000000000,0.008459335769,0.008459335769
Fukushima,Japan,Menthol,Full Flavor,SSL,100,0.000000,0.000000000000,0.004784618281,0.004784618281
Guiyang Longdongbao,China,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.035738460906,0.035738460906
Yantai Penglai,China,Menthol Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.002404290339,0.002404290339
Kitakyushu,Japan,Regular,Ultralights,MAG,REGULAR SIZE,0.000000,0.000000000000,0.002940052921,0.002940052921
Porto,Portugal,Regular,Full Flavor,SLI,LONGER THAN KS,0.000000,0.000000000000,0.001287778251,0.001287778251
Min Vody,Russia,Regular,Lights,STD,KS,47.400000,0.212365591398,0.159682442807,-0.052683148591
Saga,Japan,Menthol,Lights,STD,KS,0.000000,0.000000000000,0.007597373278,0.007597373278
Lucknow,India,Menthol,Lights,STD,KS,0.000000,0.000000000000,0.001694399365,0.001694399365
Queretaro,Mexico,Regular,Full Flavor,STD,LONG SIZE,0.000000,0.000000000000,0.013352679563,0.013352679563
Amsterdam - Schiphol,Netherlands,Regular,Full Flavor,STD,100,0.000000,0.000000000000,0.031640602102,0.031640602102
Mexico City,Mexico,Menthol Caps,Lights,STD,100,0.000000,0.000000000000,0.071351382795,0.071351382795
Kota Kinabalu,Malaysia,Regular,Full Flavor,STD,LONG SIZE,0.000000,0.000000000000,0.015517094927,0.015517094927
Shannon,Ireland,Menthol,Full Flavor,STD,KS,0.000000,0.000000000000,0.012018407343,0.012018407343
Qingdao Liuting,China,Regular,Lights,SLI,KS,0.000000,0.000000000000,0.029994612355,0.029994612355
Moscow - Domodedovo,Russia,Regular,Lights,SSL,100,0.000000,0.000000000000,0.016710692374,0.016710692374
Lille,France DP,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.056921059314,0.056921059314
London Luton,Great Britain,Regular,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.013454105005,0.013454105005
Zagreb,Croatia,Menthol Caps,Lights,STD,KS,0.000000,0.000000000000,0.001016671281,0.001016671281
Netaji Subhash Chandra Bose International Airport,India,Menthol Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.003078354470,0.003078354470
Queretaro,Mexico,Menthol,Full Flavor,STD,100,0.000000,0.000000000000,0.003446249230,0.003446249230
Danang,Vietnam,Menthol,Full Flavor,STD,KS,353.600000,0.011719164280,0.035368052953,0.023648888673
Takamatsu,Japan,Regular,Lights,STD,100,0.000000,0.000000000000,0.004079129778,0.004079129778
A Coruna,Spain,Regular,Lights,STD,REGULAR SIZE,0.000000,0.000000000000,0.008523876921,0.008523876921
Jeddah,Saudi Arabia,Regular,Lights,STD,REGULAR SIZE,0.000000,0.000000000000,0.004427508228,0.004427508228
Chongqing Jiangbei,China,NTD,Ultralights,STD,KS,0.000000,0.000000000000,0.001811271291,0.001811271291
Omsk,Russia,Menthol Caps,Lights,SLI,KS,0.000000,0.000000000000,0.020035590995,0.020035590995
Luang Prabang,Laos,Regular,Full Flavor,SLI,LONGER THAN KS,0.000000,0.000000000000,0.006327327598,0.006327327598
Barcelona,Spain DP,Regular,Lights,STD,KS,147825.000000,0.049495174334,0.252134291170,0.202639116836
Barcelona,Spain,Regular,Lights,STD,KS,147825.000000,0.049495174334,0.252134291170,0.202639116836
London City,Great Britain,Regular,Ultralights,STD,LONGER THAN KS,0.000000,0.000000000000,0.001372990084,0.001372990084
Linz,Austria,Regular,Full Flavor,SLI,KS,0.000000,0.000000000000,0.015840355508,0.015840355508
Sevilla,Spain DP,Regular,Full Flavor,STD,LONG SIZE,0.000000,0.000000000000,0.001192852275,0.001192852275
Bournemouth,Great Britain,Regular,Full Flavor,STD,100,45.400000,0.042717350395,0.129672911888,0.086955561493
Qingdao Liuting,China,Menthol Caps,Lights,STD,100,0.000000,0.000000000000,0.001126095882,0.001126095882
Ixtapa Zihuatanejo,Mexico,Menthol,Full Flavor,STD,KS,9.000000,0.064935064935,0.001137232740,-0.063797832195
Kilimanjaro,Tanzania,Regular,Lights,SSL,100,0.000000,0.000000000000,0.001880231150,0.001880231150
Thessaloniki,Greece,Regular,Ultralights,STD,LONGER THAN KS,0.000000,0.000000000000,0.006834349652,0.006834349652
Cairo,Egypt,Regular,Ultralights,SSL,100,0.000000,0.000000000000,0.001952971206,0.001952971206
Juba,South Sudan,Regular,Lights,SLI,KS,0.000000,0.000000000000,0.008134677817,0.008134677817
Turku,Finland,Regular,Lights,STD,100,0.000000,0.000000000000,0.043386179361,0.043386179361
Verona,Italy,Regular,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.001044699127,0.001044699127
Douala,Cameroon,Regular,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.010991069574,0.010991069574
Yantai Penglai,China,Menthol,Full Flavor,STD,KS,30.394000,0.010632012523,0.078807166594,0.068175154071
Guangzhou Baiyun,China,NTD,Lights,STD,KS,0.000000,0.000000000000,0.001208260811,0.001208260811
Karlsruhe Baden-Baden,Germany,Regular,Lights,STD,LONGER THAN KS,0.000000,0.000000000000,0.004984161387,0.004984161387
Changchun Longjia,China,Menthol,Full Flavor,SSL,100,13.630000,0.012192940082,0.012663395652,0.000470455570
Sevilla,Spain DP,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.002149154046,0.002149154046
Doha,Qatar,Regular,Lights,SLI,LONGER THAN KS,0.000000,0.000000000000,0.006562849737,0.006562849737
Kunming Wujiaba,China,Regular,Lights,SLI,LONGER THAN KS,0.000000,0.000000000000,0.001979638160,0.001979638160
Hakodate,Japan,Menthol Caps,Full Flavor,SSL,100,0.000000,0.000000000000,0.017761466271,0.017761466271
Beijing Daxing,China,Menthol Caps,Lights,STD,100,0.000000,0.000000000000,0.001079317625,0.001079317625
Durham,Great Britain,Menthol Caps,Lights,STD,100,0.000000,0.000000000000,0.007167056490,0.007167056490
Sandefjord-Torp,Norway,Regular,Ultralights,SSL,100,0.000000,0.000000000000,0.006611613979,0.006611613979
Hyderabad,India,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.030473024551,0.030473024551
Lille,France DP,Regular,Full Flavor,STD,REGULAR SIZE,0.000000,0.000000000000,0.009111695331,0.009111695331
Ho Chi Minh,Vietnam,Menthol Caps,Full Flavor,SLI,100,0.000000,0.000000000000,0.001357090652,0.001357090652
Samsun Airport,Turkey,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.026382492311,0.026382492311
Jeju,South Korea,Regular,Lights,STD,KS,0.000000,0.000000000000,0.102200955597,0.102200955597
Curitiba,Brazil,Menthol Caps,Lights,STD,KS,0.000000,0.000000000000,0.035282735162,0.035282735162
Oslo,Norway,Menthol,Full Flavor,SSL,100,0.000000,0.000000000000,0.001032646720,0.001032646720
Kutaisi,Georgia,Menthol,Full Flavor,SSL,100,0.000000,0.000000000000,0.003014430496,0.003014430496
Amritsar,India,NTD,Lights,STD,KS,0.000000,0.000000000000,0.002267127627,0.002267127627
St. Maarten Princess Juliana,Saint Marteen (FR),Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.001939733451,0.001939733451
Wuxi Shuofang,China,Menthol,Full Flavor,SLI,100,0.130000,0.000055053487,0.002053768306,0.001998714819
Moresby Port,Papua New Guinea,Regular,Full Flavor,SSL,100,0.000000,0.000000000000,0.001486262110,0.001486262110
Recife,Brazil,Regular,Lights,STD,LONG SIZE,0.000000,0.000000000000,0.001931964716,0.001931964716
Jerez De La Frontera,Spain DP,Regular,Lights,STD,KS,93.000000,0.015503100620,0.344419336858,0.328916236238
Jerez De La Frontera,Spain,Regular,Lights,STD,KS,93.000000,0.015503100620,0.344419336858,0.328916236238
Paderborn,Germany,Regular,Full Flavor,SLI,LONGER THAN KS,0.000000,0.000000000000,0.001938304187,0.001938304187
Togo,Togo,Regular,Full Flavor,SLI,100,0.000000,0.000000000000,0.077093997064,0.077093997064
London Heathrow,Great Britain,Regular,Full Flavor,SLI,KS,94843.200000,0.151660016707,0.006836953209,-0.144823063498
Alicante,Spain DP,Regular,Full Flavor,STD,LONG SIZE,0.000000,0.000000000000,0.001810497505,0.001810497505
Lisbon,Portugal,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.078905038065,0.078905038065
Nantes,France,Regular,Full Flavor,STD,100,27.200000,0.001875137878,0.125343495260,0.123468357382
Nantes,France DP,Regular,Full Flavor,STD,100,27.200000,0.001875137878,0.125343495260,0.123468357382
Friedrichshafen,Germany,Regular,Full Flavor,STD,100,0.000000,0.000000000000,0.037247880812,0.037247880812
Palma De Mallorca,Spain DP,Menthol Caps,Full Flavor,STD,KS,0.000000,0.000000000000,0.012524106017,0.012524106017
Pula,Croatia,Menthol,Full Flavor,STD,KS,0.000000,0.000000000000,0.001811308307,0.001811308307
Cairns,Australia,Menthol,Full Flavor,STD,KS,0.000000,0.000000000000,0.049894073439,0.049894073439
St. Petersburg Pulkovo,Russia,Regular,Ultralights,SSL,100,0.000000,0.000000000000,0.009089822926,0.009089822926
Paphos,Cyprus,Regular,Full Flavor,STD,REGULAR SIZE,0.000000,0.000000000000,0.003684940000,0.003684940000
Riga,Latvia,Regular,Full Flavor,STD,REGULAR SIZE,0.000000,0.000000000000,0.002226857459,0.002226857459
Bodrum Airport,Turkey,Regular,Lights,STD,100,574.800000,0.012321120819,0.040516780925,0.028195660106
Madrid Barajas,Spain,Menthol Caps,Full Flavor,STD,100,0.000000,0.000000000000,0.003920367171,0.003920367171
Juba (inactive),Sudan,Regular,Lights,STD,100,0.000000,0.000000000000,0.001905100325,0.001905100325
Panama Tocumen,Panama,Regular,Lights,STD,REGULAR SIZE,0.000000,0.000000000000,0.009086352076,0.009086352076
Paris Orly,France DP,Regular,Lights,STD,REGULAR SIZE,0.000000,0.000000000000,0.005994320483,0.005994320483
Constantine,Algeria,Regular,Lights,SLI,KS,0.000000,0.000000000000,0.008074778123,0.008074778123
Montevideo,Uruguay,Menthol Caps,Full Flavor,SLI,KS,0.000000,0.000000000000,0.001923554441,0.001923554441
Coolangatta,Australia,NTD,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.001273645193,0.001273645193
Tegucigalpa,Honduras,Menthol Caps,Lights,STD,KS,0.000000,0.000000000000,0.009517148296,0.009517148296
